"","METAB_3-Aminoglutaric acid","METAB_HMDB0000034","METAB_HMDB0000056","METAB_HMDB0000072","METAB_HMDB0000092","METAB_HMDB0000094","METAB_HMDB0000112","METAB_HMDB0000115","METAB_HMDB0000122","METAB_HMDB0000123","METAB_HMDB0000126","METAB_HMDB0000131","METAB_HMDB0000132","METAB_HMDB0000133","METAB_HMDB0000134","METAB_HMDB0000139","METAB_HMDB0000148","METAB_HMDB0000149","METAB_HMDB0000158","METAB_HMDB0000159","METAB_HMDB0000161","METAB_HMDB0000162","METAB_HMDB0000167","METAB_HMDB0000172","METAB_HMDB0000176","METAB_HMDB0000182","METAB_HMDB0000187","METAB_HMDB0000190","METAB_HMDB0000191","METAB_HMDB0000195","METAB_HMDB0000207","METAB_HMDB0000210","METAB_HMDB0000211","METAB_HMDB0000220","METAB_HMDB0000243","METAB_HMDB0000254","METAB_HMDB0000262","METAB_HMDB0000263","METAB_HMDB0000283","METAB_HMDB0000296","METAB_HMDB0000300","METAB_HMDB0000357","METAB_HMDB0000362","METAB_HMDB0000407","METAB_HMDB0000426","METAB_HMDB0000482","METAB_HMDB0000510","METAB_HMDB0000517","METAB_HMDB0000535","METAB_HMDB0000568","METAB_HMDB0000573","METAB_HMDB0000574","METAB_HMDB0000630","METAB_HMDB0000638","METAB_HMDB0000650","METAB_HMDB0000660","METAB_HMDB0000661","METAB_HMDB0000673","METAB_HMDB0000687","METAB_HMDB0000694","METAB_HMDB0000696","METAB_HMDB0000719","METAB_HMDB0000742","METAB_HMDB0000744","METAB_HMDB0000749","METAB_HMDB0000765","METAB_HMDB0000779","METAB_HMDB0000806","METAB_HMDB0000807","METAB_HMDB0000812","METAB_HMDB0000827","METAB_HMDB0000847","METAB_HMDB0000866","METAB_HMDB0000883","METAB_HMDB0000943","METAB_HMDB0001051","METAB_HMDB0001151","METAB_HMDB0001173","METAB_HMDB0001266","METAB_HMDB0001401","METAB_HMDB0001406","METAB_HMDB0001473","METAB_HMDB0001488","METAB_HMDB0001548","METAB_HMDB0001844","METAB_HMDB0001870","METAB_HMDB0002092","METAB_HMDB0002142","METAB_HMDB0002322","METAB_HMDB0002520","METAB_HMDB0002994","METAB_HMDB0003229","METAB_HMDB0003355","METAB_HMDB0003424","METAB_HMDB0013674","METAB_HMDB0034252","METAB_HMDB0059916","METAB_Cystamine","METAB_Fendiline","METAB_Galactosamine","METAB_Glutathione-nTMS","METAB_HMDB0000020","METAB_HMDB0000023","METAB_HMDB0000067","METAB_HMDB0000168","METAB_HMDB0000197","METAB_HMDB0000212","METAB_HMDB0000214","METAB_HMDB0000267","METAB_HMDB0000303","METAB_HMDB0000305","METAB_HMDB0000306","METAB_HMDB0000448","METAB_HMDB0000508","METAB_HMDB0000555","METAB_HMDB0000624","METAB_HMDB0000625","METAB_HMDB0000695","METAB_HMDB0000700","METAB_HMDB0000714","METAB_HMDB0000725","METAB_HMDB0000755","METAB_HMDB0000784","METAB_HMDB0000840","METAB_HMDB0000996","METAB_HMDB0001414","METAB_HMDB0001492","METAB_HMDB0001514","METAB_HMDB0001545","METAB_HMDB0001999","METAB_HMDB0002064","METAB_HMDB0002931","METAB_HMDB0003338","METAB_HMDB0004825","METAB_HMDB0011733","METAB_HMDB0040937","METAB_HMDB0061715","METAB_HMDB0062477","METAB_Sedoheptulose-meto-6TMS"
"AJ218_1_RPMI",5.76264285777906,3.26555424411922,1.72389309221545,-6.12785000210083,3.08628871243256,0.70308446913791,4.25665937746387,0.9054978417279,0.613682360618498,2.29884843377969,3.11851535000443,6.89904441464573,1.73620052726979,2.9633425498181,2.8750230341193,4.73033551540284,5.87311600281624,3.41086281642441,2.94248625789948,3.49684757207491,2.52062326928086,2.80106762257383,2.68583145961943,5.88975114997257,-0.921766943126695,-1.09861207420039,2.91607440673448,-0.774957368785767,5.71362818563933,2.48731302385722,-1.51163166105638,1.14014032145976,2.3132421811679,1.81509537307229,-3.4922576518482,6.14164159844852,-1.30772169607707,-2.49850957140587,-1.17971546005042,2.5404149052376,4.80692383981997,1.90975206746504,-0.276179266128853,0.783760946075773,1.23425869898524,-3.5561133048511,5.43426953106055,-0.985211767689613,-1.02060365775412,-6.85250428068958,-4.71949650599951,0.667384535160121,0.338092345082142,-2.45707323645671,-3.16595599984519,-2.06372910224968,0.330334791389262,-5.46049318363305,6.03076614633763,0.195056577158198,-1.24610367921255,-4.28059105349768,-0.00192683593785503,1.76820536137181,1.23511295745824,0.865645691432459,1.31071946882306,-0.5433025562794,3.59446185447397,-3.4057864533537,1.95513269632218,-1.78227035992584,-8.87116418368716,6.17810837001103,-4.50180673811388,-3.22335787714284,-1.86390003536632,-3.76586516873924,-2.14139356390461,2.87075810893076,6.20438911710656,2.09196370598986,0.00192683593785503,-0.854615438815744,-2.46835372579392,-0.0838097778517657,-2.12519076106603,7.3467429875368,4.44303000192896,-0.651404132299742,-6.42926078572875,-3.2198760557674,4.36562543305469,-4.36530834410631,-5.38919107684382,1.19859731691045,-6.43293356466948,-1.46973146766643,1.78725600501253,-3.27050866573791,6.06483884420274,-1.8305498148032,-0.839046706490539,-13.1345052523005,-3.50883367902873,0.53623002045563,-0.51394408833508,-0.271270613333554,7.11517629087277,3.89596439496674,0.0670623511459034,1.5053695266082,-5.40630706262412,-3.74280135070507,-7.3260991862686,-0.78508860896018,-2.26714770650999,-4.45581529672924,2.65303401468278,-1.28736798780402,5.87354015437266,1.25924635359694,-2.82886224100062,-6.82663069370203,-6.14535697457289,6.38128571185409,-7.22565314035868,-0.700354667608677,-3.17613009205196,-1.16015651509217,2.4887831325524,-4.33571938523892,5.31756793620398,-0.611088317105775,-6.91079902061836,-6.03711804532815,-0.31922407842788,0.359533947237672,-2.0751992766911
"AJ218_1_SERA",6.08548256462819,3.10384084867604,-0.64264500996492,-10.2589924338674,5.38942248109418,-0.0750512094720044,3.4106798792007,2.03953705402535,1.28644523823456,3.8118490141979,4.08349231787083,8.78764186007198,1.51208996101833,1.62214248418018,3.72728431011942,5.99175186932577,6.65083869677069,3.69103908560332,2.73333242236234,4.16893652522906,2.59885012881337,2.3251817783372,2.58840820159747,5.51250374857474,0.254424220403585,-3.29352439099543,2.91194009160794,0.316261866869301,5.89491931798528,2.36959979155585,-1.79883111827719,1.49831765380531,-3.73586017104983,2.84126712039966,-3.480297546011,7.91969606288791,-0.793370123646779,-4.30384016869727,-1.50854928357804,3.72507481434594,6.19047270376266,2.4064469186732,-0.528045459203833,-0.131704736163396,0.620234115518969,-2.35457432393837,7.61120410414534,-1.39663106220527,-0.583422014009599,-5.57153285922419,-2.29558165405797,2.02551479074642,0.876901294606927,-2.02084947916302,-0.6219458020899,-0.507934508113597,3.37418787345127,-3.19437884448013,7.11727805203932,-0.35280194576713,0.0750512094720008,-4.12858054750573,-1.74767300559504,0.559578800634139,-1.41642682388086,1.78351024015601,2.17472161074256,0.725211406400987,3.19012793806112,-3.10258030135713,2.56502088364233,-0.593851238647781,-6.32857911540542,7.8360613159418,-2.1372815221758,-2.27568643536351,-1.76510957442124,-2.50942143256582,-0.667662222051518,4.50717835452605,4.67013041486274,3.07058854585701,2.87575693214774,-2.25662991237473,-2.93262451486802,1.17608553059335,-1.68498219331778,9.3317966610378,2.03929772726765,0.145915819320461,-6.03201946514132,-1.67743069448728,1.8129657538261,-3.09044051241914,-3.84171789865383,0.523007187668664,-0.943687754787355,-1.50813634432329,1.88120702558756,-3.25160029963733,6.0244036910337,-3.14546432282105,-0.22251770309089,-2.90772037739786,-2.68736964473433,0.624215758534454,-5.04527231454537,-1.01762557462069,8.79443287451364,2.37467775635907,0.112306837715906,0.122698657730432,-4.94847302347698,-3.05114235979911,-8.47727343879661,-0.972766993846752,-3.23571277310548,-4.53219107053615,0.606645514161233,-3.34848317362084,6.24348945825178,2.27696196772581,-2.00665102051806,-6.53293761391161,-6.40715784111017,8.34693316404126,-5.88276295457629,-0.171321466607237,-8.46013230597522,0.728758268167248,4.79881330406209,-4.73500091251288,6.68629699623428,-4.27764019509561,-9.25899243386736,-4.56045425157674,-1.50602760981545,0.241972191683672,-0.936164730671658
"AJ218_2_RPMI",6.12430184776251,3.15022083540151,1.72347323390866,-5.76206212390183,3.4805864356903,0.835207204086046,4.82969292222296,1.27906210543306,0.273844543418411,2.7586879387967,2.38723638131101,7.31574072630768,1.68123182062453,0.881447890557222,2.9241326090768,4.74436209232444,6.18656235665032,3.74560248709297,4.36099667165477,4.03808578098759,2.66888174964551,2.9343265525741,2.9563786592928,6.17978058700117,-1.13500252218591,-0.174115247837534,3.67215602303231,-0.536660151165652,6.07315774561746,2.38214175771508,-1.55276786512776,0.985882096862518,3.38311978825519,1.77234030781937,-3.08712546587714,6.45323925379852,-1.13822689204434,-1.98194020361282,-1.0522614038474,2.38337884901849,5.0356122334233,2.24160132654958,-0.529139623736235,1.4142015858867,0.82343988359084,-3.16810157737848,5.87038270932748,-0.670346408038064,-0.774024647959749,-6.74497475971756,-4.96839527359238,1.61009352513,0.511156299050473,-2.34666411364263,-2.65970363182591,-2.29056934829201,0.193352773575583,-5.28216248331566,6.43970136125402,-0.49587201435163,-1.06480469258707,-4.77566530177262,0.501037891826044,1.80209016553489,0.713816811904874,0.330216244674649,1.87844539994235,-0.330751915023036,3.48617556605408,-3.07624071918426,1.91098406611276,-1.36187252858401,-5.39192471487782,6.50586058561544,-4.12038327442746,-2.75791800809328,-1.92524065910137,-4.02413144544226,-2.41629114714987,2.42432716931871,5.9813660594677,1.36050808807149,-0.161782779413038,-1.2671008661671,-2.66729070451725,0.696997518860954,-2.18481206321533,7.74269256718294,4.50603130614627,-1.66467470637944,-5.9923642715069,-3.23425780097067,4.4570834819835,-4.82498888030102,-5.10731216511726,1.43726258762685,-5.87950288660798,-1.09372859218554,1.55281128559164,-3.67502872420663,6.28459245073271,0.0743390676509676,-0.607530732499441,-13.758064759158,-0.978841295973158,1.59705688278666,0.500142396511205,-0.11635939938736,7.38468134842441,3.84423328142799,-0.0743390676509676,2.5474099622429,-5.12174224206868,-3.51137363665179,-8.04496469216014,-0.417820555123399,-2.50247059533296,-4.72154768867148,2.38260776733622,-1.93752011564287,6.1365659673971,3.09454348496114,-3.34073964147808,-8.5133045247931,-6.43576101134809,6.78314756424904,-8.80193064452963,-1.40842554530712,-3.63475163458926,-1.32287200339212,2.49056393514817,-4.61744797945956,5.53394197552745,-1.63908314364084,-8.41524929779682,-5.48679628253717,-1.31953278139642,-0.693272883892842,-2.39549058945386
"AJ218_2_SERA",6.33543258153276,3.0502293276026,0.640294046098187,-7.9680583859872,5.24383896347349,-0.00683308093559276,2.93220296125839,1.40366932150071,1.44059361888646,3.13468032905287,3.04208072039113,7.52650899327436,1.96355396279368,1.44386434059238,3.0697106487076,4.99015888890144,6.4664262103529,3.01907466204819,4.02386348092548,4.39786558308031,2.68112713575484,2.78009016800004,2.36345240299519,5.88468885565115,0.524667987928467,-1.28511902010015,3.13229758289867,0.608113827724111,6.2318992607158,1.67408459974045,-5.07812552226484,1.30371149870292,1.96559083161985,1.9703780785942,-3.15697977908916,6.94780609999192,-1.55594292046007,-3.26886613445292,-2.3539772320524,3.2632369652895,5.09648968602489,2.54382194408341,-1.36026262775159,0.729143483478023,1.23855817069652,-3.3337653350102,6.65114344625277,-0.989698196588147,-1.14862556599521,-6.44153936522222,-3.58262734879368,1.84946786659434,0.461157912995709,-2.33500602604902,-1.16537139878064,-1.01713922433091,2.60355046863977,-4.24522399816906,6.69014720355437,0.00683308093559631,-0.157782822747517,-4.00157399677757,-0.649934534424546,0.591338040461562,0.46135070651205,2.31468256685672,1.88988068597098,-0.427697394278098,2.39119269683716,-3.75248448676248,2.36237135306718,-1.92179886055193,-5.12299126807196,6.91056572948417,-2.2884359612977,-2.80255288454713,-1.44920855727951,-4.75274626346642,-1.27879064063179,3.33242657396209,4.80594386384011,2.05328353306015,1.27976247840508,-2.81906618780879,-2.57261812027636,0.395328297129524,-1.93743464251385,8.07531941670366,3.30717942285291,-1.07689591762134,-5.10572401941098,-3.2364723904958,3.17977893561006,-3.86730747015675,-4.26363400785506,0.582722980435754,-1.31599089969636,-1.57763337710036,3.55818036974209,-3.14086735233565,6.08524766704531,-1.23746422191758,-0.124493682451419,-3.75930616613033,-1.36898135579315,1.0478045269444,-0.90433005230696,-0.387938961750564,7.78993378534579,3.58650567616212,-5.93758342764685,1.49666172950711,-5.80789235100722,-3.48698008529085,-7.54171823764286,-1.27050507303272,-1.44567742817858,-4.0235157550682,2.16220992376358,-1.07831688832293,6.2365392023917,2.757565409773,-3.02557023870441,-6.9680583859872,-6.29709586892294,7.22751345225056,-7.16209356685477,-0.813479676363805,-3.11961127033486,-0.588173847694534,4.89734864882461,-4.75746638474491,6.16491709714086,-4.15434924126527,-8.26786807488984,-5.32744785571613,-2.03501097277348,-0.504763635190344,-1.91220016089483
"AJ218_3_RPMI",6.47753860113134,3.07690004431085,0.986600766584942,-6.79516272823845,4.66187275503315,0.613962856575487,4.1388975399279,1.35614770448062,0.103728893525542,2.97073017892733,2.7619803163558,7.5625910450306,1.56674780898844,1.33795696710332,3.06661845137525,5.21550450593153,6.3324072188558,3.79183035401821,4.63589189783853,3.57707134668018,2.25326541838051,2.80160790440335,2.48502888836644,6.46769957540157,0.391888046979783,-0.52527308249946,3.70691622492016,-0.689553168419373,6.41524538916174,2.6039008690209,-3.10109811770272,0.583026864137402,1.43320939350011,1.77781344163151,-3.33652627367462,6.79165106472774,-1.13950447893559,-2.17403746290667,-1.48366016346958,2.78300568316095,5.02049151995444,2.26512360653505,-0.687143494831531,0.848379055077292,0.37036557001915,-3.61585234218968,6.47135294388399,-0.898766501829478,-1.52471523173235,-6.5379491006093,-4.98283719176645,2.47386647473455,0.212765518676029,-2.48583017396778,-2.06457554189513,-1.42939025014915,2.17145235324682,-5.01431256161532,6.8057349430322,-0.475902427980309,-0.825027538854258,-5.02529278859597,0.158372058411917,1.02257382192945,-1.04433080452344,0.119503533911494,1.62876578718537,-0.284854400353179,3.31026011224087,-3.46247684050276,1.78407191159661,-1.39069274328201,-4.63966136317505,6.81925288495959,-2.0862577421888,-2.9760909645846,-2.22678261791397,-3.38927352965926,-2.15612584044167,2.26955770242289,5.25789077643043,1.76481812441261,0.465914422931583,-1.73349839089012,-3.38734048554574,0.190629333228731,-2.08900416418876,8.06706615410335,3.35144302704047,-1.11840219298745,-7.06326331082606,-2.9699063888108,3.26960300835685,-4.18670083807589,-5.38920905310941,1.11186739176355,-2.47275632016858,-1.37235097855291,1.59654030127951,-3.61441963825503,5.98222527294617,0.775670915080639,-0.442369149694205,-6.78359115608441,-1.17154024998045,0.854283227800245,-1.29009682824577,-0.732312430564324,7.64915529461243,3.95112602351465,-0.0455115983127357,2.14877624983719,-6.2605009002248,-3.3978098289551,-11.7514107503353,-0.543257097943389,-3.21339304111452,-4.44575131799607,0.79622806658244,-2.97289873206659,6.16249714668087,3.62632161377742,-3.56675414672554,-6.33504785358985,-5.54109752869146,7.17776656562692,-9.07400200084951,-1.73652958124893,-5.40528815043511,-1.50734428614044,3.9974195208323,-4.95279600671251,5.92437768513564,-3.01724906780957,-10.031518669528,-5.26949263206331,-1.59987183382002,-1.29516204210645,-1.86858679022011
"AJ218_3_SERA",5.83162293472274,3.15193139633627,-1.08606850614014,-8.53637054734322,5.54195495539484,-0.0474234366648592,4.73273541888781,2.46808771415206,1.92831847712828,4.29203122832541,4.33823118292218,9.50352034043883,1.68292185827385,1.75677520578443,4.21946986429913,6.86763087235388,7.25453067979872,4.12708600141915,2.02063326144483,3.72587230090375,3.07246270086482,2.56008522758638,2.70958914553012,5.77757532336599,-0.181557190676191,-2.68231205338372,2.9771122714776,1.09436236193296,5.65516353376266,2.11470940177656,-1.75201908072199,1.71019239719494,-3.42439289511018,3.39126453539264,-3.1672905875667,8.45302307942241,-0.544469347101934,-4.27002666429665,-0.748673609907007,3.63155129313843,6.69113673247421,2.88308788771156,-0.983414079961431,0.73661734381978,1.62094654584547,-1.64710014650334,7.29497605308963,-1.51531407666309,-0.171081412297211,-4.56577772839488,-1.4083051658968,1.78250136556236,0.657668871506608,-1.74708080577536,-0.634173497191464,-0.0878673960994298,3.21942059131048,-3.15055908842387,7.85228465866802,-0.242726927666631,-0.394645551716131,-5.2986430413266,-2.34732426708211,1.01731165220607,-1.23309316940355,2.33019650882477,3.0729463636095,0.955845385966885,2.82904345740671,-2.94197246661245,3.10135966048363,0.0168581123850195,-8.07384412228305,8.27260005860987,-2.23172728715902,-2.01231477131188,-0.695828015105253,-2.16832817665075,-0.118584465586098,4.41578023606227,4.10789382761891,3.35887626127586,-0.144154554946674,-1.65966475125022,-1.72425642343177,1.4227414871601,-1.07107731784213,10.0994572911475,3.76381759726184,0.113522091451339,-5.29263430693931,-0.956683422110734,3.71357808051837,-2.83505726269594,-4.08938497317883,0.355006537191029,-0.969627292614231,-0.822720189746654,2.72112866167323,-2.76683201938866,5.44391804972414,-4.13649973013282,0.249242815575093,-1.83778891618158,-2.07861805826845,-0.93300704951643,-4.78274579803138,-0.872971486014967,9.61268360524807,3.16010418036768,1.01372479558517,0.342537226760266,-4.85528434558986,-2.10733455045733,-6.62418842613463,-0.13200001427971,-3.53992486064848,-3.40611416139187,1.49392729372843,-1.64825054462999,6.7009161747475,2.969929223627,-2.90598158729763,-4.49784034895555,-9.61816463850686,9.06926042757386,-7.86684375136359,-1.551006287042,-7.45896604365761,0.685863385887039,4.5130385465586,-4.52083476779719,7.04859079779851,-2.62626492573417,-11.8246155159743,-4.1554578878367,-1.81683350407703,0.186369764488363,-0.489596959725541
"AJ218_4_RPMI",6.85433127057893,3.27474681643743,1.9155604295797,-7.15001673040236,3.00452911858507,0.543643876311904,4.64180497851235,1.59824578330135,0.586026421835562,3.28931079896577,2.94982143878214,8.06352831188308,1.80173268612993,2.36257445581576,2.92247090884092,5.54700565450507,6.76796449179293,3.84073746540243,4.65919221708807,3.4550874199432,2.65331657614285,2.67027754587487,2.83359596600879,6.79538077323777,-1.92458908021384,-0.432328922566679,3.56670305116959,-0.646785289189928,6.7884895155237,2.75133005044685,-2.07348519134578,1.00891161773101,2.52676478048128,1.7465394639163,-2.84117984121793,7.15900164911575,-0.875919180132353,-1.94731525740739,-0.562709559757916,2.48394700502006,5.26019490682758,2.09244920128464,0.0244445029865758,1.41328091050484,1.21652333133966,-3.34651848197186,5.14646125748098,-0.475865528994724,-1.25063471342115,-6.39993021450271,-5.24152934985951,1.18767554632563,0.359238773631894,-2.31578193777414,-2.89548245053148,-1.3830391649119,-0.381843398802133,-5.15782646653852,7.21359365106195,-0.879748571026159,-1.33408561441759,-5.91705006944282,-0.624385367720642,1.64623043465622,0.283364222359317,0.76166888010366,2.20038102605483,-0.201610689568181,3.95201727100159,-3.4928971375311,1.62179625819916,-1.41009598103863,-5.5726631871599,7.08933009695759,-3.708340908068,-2.81805827037773,-1.74522877715024,-5.23008437545395,-1.56146394568588,3.10073710866406,5.90425052229209,1.90483879802732,1.02843719634593,-1.05816528022776,-2.71891136611242,0.667110357097737,-2.19334872858167,8.53742982272293,3.91034762444323,-0.890468953315015,-7.36822135477537,-2.93933325247339,3.8595927913344,-4.13645060112306,-4.55867766663354,1.07005622674096,-6.20434930251606,-0.933746223451052,1.60594380642634,-3.56126474719873,6.00702982382507,1.55856879827085,-0.589741032501475,-12.3392422878036,-0.850839144125125,1.0848245661115,-0.263115009127258,-0.463919140757081,8.09683096094305,3.79738721220399,0.123678204414514,2.2924635737045,-6.28494631048847,-2.95311851752678,-9.67627727508118,-0.0244445029865758,-2.64122169944892,-4.22834380541011,1.54076148932591,-2.18968760204571,6.68506668586381,4.21858580557624,-3.83216845453516,-5.95842050386268,-7.30548559942741,7.64736266542249,-7.58273650724176,-2.38540968382186,-4.33038928124964,-0.665491548365544,2.90616974144474,-4.0676377845335,5.9250141155748,-2.97232404172081,-12.4767458115535,-6.24025319317224,-1.38115099221461,-0.910882115099316,-1.5296596755866
"AJ218_4_SERA",6.55020899068549,3.32980014629669,-1.2556397294134,-9.01157298341566,5.81968775216896,-0.276496187355587,4.14990801275117,2.42944310976995,0.897266043555517,4.02059591227105,4.23740388591232,8.75727825312667,1.99671640823707,2.05223627919234,3.85793143937405,5.8227707430511,6.94797745227047,3.35036418625129,3.54042185948768,4.21068909227222,2.47846534305908,2.82049249057657,3.01027244334303,6.01420762217038,0.326169807493027,-1.2717313859211,3.42647356058154,0.324462992787854,6.37280667429024,2.28024609558698,-2.05275825356842,1.69943048664374,-3.09558564670646,2.94565364613635,-3.55401571981185,7.99823633790579,-0.654816100365784,-3.3892564897422,-0.83457379362029,3.68740749740164,6.16164766555553,2.73400263411576,-0.721498604427341,-0.3344052526616,0.361606646344594,-2.83971795487495,7.4691737889646,-1.26763079924542,-0.520999953416997,-5.80164991404143,-2.32633868173799,2.40042606920378,1.11052213667229,-1.66273819589868,-0.283099202859614,-0.0313075306673731,3.30482101485708,-3.15764345135986,7.77497574459062,-0.322648625982001,0.038111576828598,-3.95563724217452,-1.40272812259793,0.583156316166001,-1.52271654106751,1.36575516384126,2.23812593519225,0.827886955758299,2.92907229063843,-3.69007950068428,2.78716718203879,-1.15261833293476,-5.77098277779449,8.0164226954568,-2.08261767508314,-1.96770568350468,-1.66770500032324,-3.4231744164163,-0.587330793240662,3.59779213595694,5.06194554834935,3.25247701536463,2.04812575033453,-1.67851368732574,-2.59942403559763,1.29688256084967,-1.44194610200408,9.34063485299767,3.6829265113504,-0.137999161298858,-5.10874386858574,-1.70186379434096,3.60612266308582,-3.69356111936558,-4.11165194262198,0.103564704445652,-0.667223593820502,3.31431321805124,1.79566553750902,-2.8244892658953,5.98758308507296,-0.919293445387211,0.164795454360945,-2.82020155354481,-1.60289794884769,-0.680872045286611,-4.30879529386668,-0.734528352442747,8.90991372101536,3.07278718347674,-0.0132544364599632,1.59726074682709,-4.07599963310306,-2.6315162044554,-7.56324517471635,-1.36013219841294,-3.8365871572968,-4.32153292576272,0.740817739547239,-2.24091904008556,6.56774774695087,2.96082729067622,-1.27108101059582,-6.47522042691913,-6.86305045870557,8.45554266904266,-6.79042265861817,-0.841478466649965,-9.1577937242667,0.0120143874255412,4.93632080927549,-4.56922898686535,6.7328328279375,-6.33812554077025,-8.84745360365455,-4.29319485037462,-1.80211961778671,-0.777837817139334,-0.293839338995054
"AJ218_5_RPMI",6.242999033988,3.36220278035065,1.21890084504562,-6.85574825725975,3.36602528529325,0.646186027204969,5.52410626217602,0.817318528729096,-0.0807779141858429,-1.30433661431548,3.49402694825919,7.25171106529425,2.04027926439102,1.26895045060547,2.70673285200805,5.22284597079076,6.26778109481677,2.65551397478198,5.77622584505952,4.19238746104548,2.39282410423442,2.86191992255164,3.10031548271899,6.19442081260817,-0.468237191612633,0.272195555281076,3.57092898088115,-1.10273488638762,6.19791887177888,2.08167663079006,-1.07401000426157,1.47401649299874,2.72134763867855,2.00572988200021,-3.23593561610684,6.36768701326829,-1.20963311891877,-1.60041625202454,-1.52115934097734,3.05857676456104,4.76021043460055,2.30504152448725,0.067026676680765,0.716969547361135,1.07452574402281,-4.08700913896867,5.37529545356438,0.204951388067158,-1.72010507553534,-6.22268063184291,-4.29730387339787,1.18975904046004,0.906762213944066,-2.6321080938539,-3.15032131798258,-2.58915433628608,-0.893442529507684,-5.38187656273303,6.60093878040809,-0.748488931588732,-0.733444141249933,-3.89762311466988,0.791341693453763,1.30009060591667,0.275795829660602,-0.276851031917008,1.83711705569008,-0.574521640675421,3.94486510052494,-3.51319546671866,2.06059705100355,-1.85968882018607,-4.97952247397117,6.42386142637825,-4.13855002085729,-3.22548050665394,-2.0683797044464,-1.31339446081117,-2.81680287733094,3.22854509364758,6.05705422634487,2.45795445786392,0.885901735981513,-0.941714767553647,-2.6759964550504,-0.0244769314881843,-2.3458739660369,7.70271147529486,4.66464260016489,-0.719033676561875,-6.59933932824099,-3.10299231021125,4.59167816820171,-4.20338989982895,-5.23665396329507,1.2432533302331,-6.83263316693507,-0.885504960953213,1.8965455907456,-2.90764198163868,6.26983075678403,1.10581182536365,-0.494108910295672,-15.7775891943342,-1.03996333789923,1.20220997960669,-0.08643637937028,0.514339067781011,7.43192619527206,3.78388895133181,-7.97453440971026,2.88698482325091,-6.1461089558949,-3.19509434608672,-7.08062166809995,-0.720598750669637,-1.33312426081891,-5.01783968512038,0.926456273903909,-1.59196522417027,6.27046396311266,3.82354984635337,-4.00060792132015,-6.14096457379059,-6.00307664620585,6.76730694598914,-6.77711964346243,-1.52094304551187,-3.61530277740815,-0.534198237670044,2.50866472515066,-4.54257223413273,5.53004392590489,-2.15127174757339,-7.16594956853222,-5.97830757281232,-0.152841326571526,-0.991923879648866,-1.99032891571825
"AJ218_5_SERA",5.73610585117411,2.98292786175326,-1.00027832448522,-6.55023792727659,4.5863206403053,-0.421434765593389,5.35171974061674,1.46375904670284,1.26293748826981,3.21782600841712,4.18327061624079,7.82966057409351,1.43571252844413,3.39897958166014,4.09147522698528,5.48137811292038,6.7967819318069,3.55031898110794,3.70735247639545,4.1398798532724,2.07942000322432,2.75546474461209,2.90413725124844,5.81200106060582,-0.102841475590946,-0.448585437132795,3.09764632074576,-8.0058864121213e-05,5.54412525963529,2.20388353610071,-0.735843933216334,1.72625293117585,-3.31564763119722,3.31761754686413,-3.25644907628521,6.985016503555,-1.20886257372643,-4.27374937327027,-1.15960580660099,3.47069524472319,5.72900569849172,2.60931607033928,-0.647223062033465,-0.245191427060078,0.672097072980801,-2.11762260805641,6.66803524308166,-1.1868245175824,0.170837555480116,-5.63408784022738,-1.08437339914695,1.18654343283085,0.853961021664759,-1.80872419476871,-0.635082165603837,-0.870894012579027,2.78742152447929,-3.09210609253809,6.89097280032581,-0.52737550420699,-0.709733541369431,-3.83595838338278,-1.73512033554591,0.336794792912549,-0.837388176362246,2.02127525798746,2.27532495015097,0.723713504382452,3.15427640501656,-3.99438774598726,3.68769706669823,1.65591406973164,-6.1373456998293,7.15839339888592,-2.12133338184067,-2.31682479902637,-1.59341627321179,-2.29215437443541,-1.24760635843233,3.18170473709581,5.06182452651932,3.1230204724619,1.88204852918974,-2.31717468065748,-2.76308245349109,0.945836794993028,-1.13979655128464,8.37030553841018,4.70806734185166,0.211204635389258,-4.68868855278618,-0.889785460487271,4.64642843812012,-2.2592582839686,-4.58056596687886,8.00588641176603e-05,-2.77425390668601,-1.2133462311226,2.07215480908186,-2.55946733605288,6.1701868655727,-1.72593559605495,-0.00550404673573368,-2.6740159565808,-2.95684449199736,-1.08952392017752,-16.5296631226081,-0.484354899030363,8.11291209468926,2.09599578453837,0.330096096820075,2.27864279569041,-4.63863893245857,-3.01236282031796,-8.56966119053998,-1.31845923654908,-2.5987410254828,-3.58467660231503,0.383471724012139,-4.22631045268173,6.29215094577608,2.17674689291889,-3.14130942708515,-5.76189247383136,-8.00414231351299,7.44570715256857,-8.40295864976487,0.131305833848705,-8.01199373447425,-0.72064868744943,4.33915679521984,-4.82316710454688,6.09287191335414,-3.5616263862146,-9.38500487977618,-3.72250948343057,-0.787814340241045,0.515109850840009,-0.743163893347917
