"ID"	"name"
"GO:0043038"	"amino acid activation"
"GO:0043232"	"intracellular non-membrane-bounded organelle"
"GO:0035639"	"purine ribonucleoside triphosphate binding"
"GO:0006518"	"peptide metabolic process"
"GO:0009058"	"biosynthetic process"
"GO:0005829"	"cytosol"
"GO:0006399"	"tRNA metabolic process"
"GO:0034645"	"cellular macromolecule biosynthetic process"
"GO:0098805"	"whole membrane"
"GO:0043226"	"organelle"
"GO:0120025"	"plasma membrane bounded cell projection"
"GO:0006725"	"cellular aromatic compound metabolic process"
"GO:1901576"	"organic substance biosynthetic process"
"GO:0006796"	"phosphate-containing compound metabolic process"
"GO:0015672"	"monovalent inorganic cation transport"
"GO:0009141"	"nucleoside triphosphate metabolic process"
"GO:0071944"	"cell periphery"
"GO:0048699"	"generation of neurons"
"GO:0044271"	"cellular nitrogen compound biosynthetic process"
"GO:0010608"	"posttranscriptional regulation of gene expression"
"GO:0034622"	"cellular protein-containing complex assembly"
"GO:0019219"	"regulation of nucleobase-containing compound metabolic process"
"GO:0005575"	"cellular_component"
"GO:0042255"	"ribosome assembly"
"GO:0045088"	"regulation of innate immune response"
"GO:1901269"	"lipooligosaccharide metabolic process"
"GO:0044092"	"negative regulation of molecular function"
"GO:0022613"	"ribonucleoprotein complex biogenesis"
"GO:0006955"	"immune response"
"GO:0042625"	"ATPase coupled ion transmembrane transporter activity"
"GO:0003824"	"catalytic activity"
"GO:0016114"	"terpenoid biosynthetic process"
"GO:1901505"	"carbohydrate derivative transmembrane transporter activity"
"GO:0090627"	"plant epidermal cell differentiation"
"GO:0043167"	"ion binding"
"GO:0010911"	"regulation of isomerase activity"
"GO:0044706"	"multi-multicellular organism process"
"GO:0005737"	"cytoplasm"
"GO:0016020"	"membrane"
"GO:0035821"	"modification of morphology or physiology of other organism"
"GO:0009116"	"nucleoside metabolic process"
"GO:0003006"	"developmental process involved in reproduction"
"GO:0051180"	"vitamin transport"
"GO:0044085"	"cellular component biogenesis"
"GO:0097159"	"organic cyclic compound binding"
"GO:0008152"	"metabolic process"
"GO:0006139"	"nucleobase-containing compound metabolic process"
"GO:0046854"	"phosphatidylinositol phosphorylation"
"GO:0009059"	"macromolecule biosynthetic process"
"GO:0051716"	"cellular response to stimulus"
"GO:0034641"	"cellular nitrogen compound metabolic process"
"GO:0031981"	"nuclear lumen"
"GO:0009987"	"cellular process"
"GO:0044464"	"cell part"
"GO:0003677"	"DNA binding"
"GO:0043043"	"peptide biosynthetic process"
"GO:0071826"	"ribonucleoprotein complex subunit organization"
"GO:0016021"	"integral component of membrane"
"GO:0030154"	"cell differentiation"
"GO:0042221"	"response to chemical"
"GO:0007275"	"multicellular organism development"
"GO:0001067"	"regulatory region nucleic acid binding"
"GO:0009394"	"2'-deoxyribonucleotide metabolic process"
"GO:0005622"	"intracellular"
"GO:0015101"	"organic cation transmembrane transporter activity"
"GO:0009314"	"response to radiation"
"GO:0040007"	"growth"
"GO:0016741"	"transferase activity, transferring one-carbon groups"
"GO:0044237"	"cellular metabolic process"
"GO:0044238"	"primary metabolic process"
"GO:0043229"	"intracellular organelle"
"GO:0010468"	"regulation of gene expression"
"GO:0009056"	"catabolic process"
"GO:0005623"	"cell"
"GO:0005215"	"transporter activity"
"GO:0004347"	"glucose-6-phosphate isomerase activity"
"GO:0005515"	"protein binding"
"GO:0043933"	"protein-containing complex subunit organization"
"GO:0046483"	"heterocycle metabolic process"
"GO:0032553"	"ribonucleotide binding"
"GO:0046942"	"carboxylic acid transport"
"GO:0044282"	"small molecule catabolic process"
"GO:0009263"	"deoxyribonucleotide biosynthetic process"
"GO:0006807"	"nitrogen compound metabolic process"
"GO:0005488"	"binding"
"GO:0071704"	"organic substance metabolic process"
"GO:0034220"	"ion transmembrane transport"
"GO:0050776"	"regulation of immune response"
"GO:0043101"	"purine-containing compound salvage"
"GO:0051182"	"coenzyme transport"
"GO:0009124"	"nucleoside monophosphate biosynthetic process"
"GO:1901360"	"organic cyclic compound metabolic process"
"GO:0044255"	"cellular lipid metabolic process"
"GO:0016740"	"transferase activity"
"GO:0000027"	"ribosomal large subunit assembly"
"GO:0006418"	"tRNA aminoacylation for protein translation"
"GO:0002130"	"wobble position ribose methylation"
"GO:0043228"	"non-membrane-bounded organelle"
"GO:0023052"	"signaling"
"GO:0019538"	"protein metabolic process"
"GO:0072521"	"purine-containing compound metabolic process"
"GO:0050896"	"response to stimulus"
"GO:0034654"	"nucleobase-containing compound biosynthetic process"
"GO:0048468"	"cell development"
"GO:0016829"	"lyase activity"
"GO:0072337"	"modified amino acid transport"
"GO:0043170"	"macromolecule metabolic process"
"GO:0046872"	"metal ion binding"
"GO:0044260"	"cellular macromolecule metabolic process"
"GO:0019319"	"hexose biosynthetic process"
"GO:0009893"	"positive regulation of metabolic process"
"GO:0016491"	"oxidoreductase activity"
"GO:0044444"	"cytoplasmic part"
"GO:0010020"	"chloroplast fission"
"GO:0022626"	"cytosolic ribosome"
"GO:0042546"	"cell wall biogenesis"
"GO:0071705"	"nitrogen compound transport"
"GO:0006753"	"nucleoside phosphate metabolic process"
"GO:0008299"	"isoprenoid biosynthetic process"
"GO:0097367"	"carbohydrate derivative binding"
"GO:1905039"	"carboxylic acid transmembrane transport"
"GO:0007165"	"signal transduction"
"GO:0009165"	"nucleotide biosynthetic process"
"GO:0045935"	"positive regulation of nucleobase-containing compound metabolic process"
"GO:0051704"	"multi-organism process"
"GO:1901566"	"organonitrogen compound biosynthetic process"
"GO:0015934"	"large ribosomal subunit"
"GO:0005618"	"cell wall"
"GO:0022607"	"cellular component assembly"
"GO:0032074"	"negative regulation of nuclease activity"
"GO:0090304"	"nucleic acid metabolic process"
"GO:0006721"	"terpenoid metabolic process"
"GO:0009986"	"cell surface"
"GO:0051234"	"establishment of localization"
"GO:0044422"	"organelle part"
"GO:0006644"	"phospholipid metabolic process"
"GO:0044877"	"protein-containing complex binding"
"GO:0065007"	"biological regulation"
"GO:0009211"	"pyrimidine deoxyribonucleoside triphosphate metabolic process"
"GO:0005198"	"structural molecule activity"
"GO:0015882"	"L-ascorbic acid transmembrane transport"
"GO:0048856"	"anatomical structure development"
"GO:0008144"	"drug binding"
"GO:0048858"	"cell projection morphogenesis"
"GO:0006235"	"dTTP biosynthetic process"
"GO:0071496"	"cellular response to external stimulus"
"GO:0022857"	"transmembrane transporter activity"
"GO:0008982"	"protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"
"GO:0002376"	"immune system process"
"GO:0003674"	"molecular_function"
"GO:0019206"	"nucleoside kinase activity"
"GO:0009636"	"response to toxic substance"
"GO:0051179"	"localization"
"GO:0009117"	"nucleotide metabolic process"
"GO:0009262"	"deoxyribonucleotide metabolic process"
"GO:0061024"	"membrane organization"
"GO:0051172"	"negative regulation of nitrogen compound metabolic process"
"GO:0009968"	"negative regulation of signal transduction"
"GO:0009179"	"purine ribonucleoside diphosphate metabolic process"
"GO:0003688"	"DNA replication origin binding"
"GO:0000166"	"nucleotide binding"
"GO:0019752"	"carboxylic acid metabolic process"
"GO:0046364"	"monosaccharide biosynthetic process"
"GO:0044391"	"ribosomal subunit"
"GO:2001141"	"regulation of RNA biosynthetic process"
"GO:0140101"	"catalytic activity, acting on a tRNA"
"GO:0043604"	"amide biosynthetic process"
"GO:0043168"	"anion binding"
"GO:0008610"	"lipid biosynthetic process"
"GO:1901135"	"carbohydrate derivative metabolic process"
"GO:0030246"	"carbohydrate binding"
"GO:0048519"	"negative regulation of biological process"
"GO:0090698"	"post-embryonic plant morphogenesis"
"GO:0003676"	"nucleic acid binding"
"GO:0060338"	"regulation of type I interferon-mediated signaling pathway"
"GO:0009148"	"pyrimidine nucleoside triphosphate biosynthetic process"
"GO:0006793"	"phosphorus metabolic process"
"GO:0015405"	"P-P-bond-hydrolysis-driven transmembrane transporter activity"
"GO:0032420"	"stereocilium"
"GO:0016831"	"carboxy-lyase activity"
"GO:0017150"	"tRNA dihydrouridine synthase activity"
"GO:1901137"	"carbohydrate derivative biosynthetic process"
"GO:0006952"	"defense response"
"GO:0016053"	"organic acid biosynthetic process"
"GO:1904951"	"positive regulation of establishment of protein localization"
"GO:0048767"	"root hair elongation"
"GO:0006412"	"translation"
"GO:0032269"	"negative regulation of cellular protein metabolic process"
"GO:0060089"	"molecular transducer activity"
"GO:0010053"	"root epidermal cell differentiation"
"GO:0051156"	"glucose 6-phosphate metabolic process"
"GO:0065008"	"regulation of biological quality"
"GO:2000112"	"regulation of cellular macromolecule biosynthetic process"
"GO:0045182"	"translation regulator activity"
"GO:0050794"	"regulation of cellular process"
"GO:0009126"	"purine nucleoside monophosphate metabolic process"
"GO:0030182"	"neuron differentiation"
"GO:0006650"	"glycerophospholipid metabolic process"
"GO:1901564"	"organonitrogen compound metabolic process"
"GO:0016627"	"oxidoreductase activity, acting on the CH-CH group of donors"
"GO:0046496"	"nicotinamide nucleotide metabolic process"
"GO:0140098"	"catalytic activity, acting on RNA"
"GO:0005840"	"ribosome"
"GO:0019136"	"deoxynucleoside kinase activity"
"GO:0018130"	"heterocycle biosynthetic process"
"GO:0061564"	"axon development"
"GO:0016787"	"hydrolase activity"
"GO:0006996"	"organelle organization"
"GO:0022804"	"active transmembrane transporter activity"
"GO:0043169"	"cation binding"
"GO:0008150"	"biological_process"
"GO:0030003"	"cellular cation homeostasis"
"GO:1901362"	"organic cyclic compound biosynthetic process"
"GO:0016054"	"organic acid catabolic process"
"GO:0030312"	"external encapsulating structure"
"GO:0072525"	"pyridine-containing compound biosynthetic process"
"GO:0019843"	"rRNA binding"
"GO:0044424"	"intracellular part"
"GO:0044445"	"cytosolic part"
"GO:0033683"	"nucleotide-excision repair, DNA incision"
"GO:0009162"	"deoxyribonucleoside monophosphate metabolic process"
"GO:0052689"	"carboxylic ester hydrolase activity"
"GO:0005971"	"ribonucleoside-diphosphate reductase complex"
"GO:0032559"	"adenyl ribonucleotide binding"
"GO:0001883"	"purine nucleoside binding"
"GO:0071840"	"cellular component organization or biogenesis"
"GO:0036094"	"small molecule binding"
"GO:0043231"	"intracellular membrane-bounded organelle"
"GO:1990904"	"ribonucleoprotein complex"
"GO:0003723"	"RNA binding"
"GO:0048518"	"positive regulation of biological process"
"GO:0080147"	"root hair cell development"
"GO:0019438"	"aromatic compound biosynthetic process"
"GO:0070925"	"organelle assembly"
"GO:0032421"	"stereocilium bundle"
"GO:0009888"	"tissue development"
"GO:0019222"	"regulation of metabolic process"
"GO:0140097"	"catalytic activity, acting on DNA"
"GO:0120127"	"response to zinc ion starvation"
"GO:0022627"	"cytosolic small ribosomal subunit"
"GO:0000270"	"peptidoglycan metabolic process"
"GO:0015711"	"organic anion transport"
"GO:0048513"	"animal organ development"
"GO:0030667"	"secretory granule membrane"
"GO:0016772"	"transferase activity, transferring phosphorus-containing groups"
"GO:0022625"	"cytosolic large ribosomal subunit"
"GO:0016070"	"RNA metabolic process"
"GO:1990351"	"transporter complex"
"GO:0044249"	"cellular biosynthetic process"
"GO:0006423"	"cysteinyl-tRNA aminoacylation"
"GO:0044267"	"cellular protein metabolic process"
"GO:0006457"	"protein folding"
"GO:0043603"	"cellular amide metabolic process"
"GO:0034219"	"carbohydrate transmembrane transport"
"GO:0000049"	"tRNA binding"
"GO:0015144"	"carbohydrate transmembrane transporter activity"
"GO:0071702"	"organic substance transport"
"GO:0048812"	"neuron projection morphogenesis"
"GO:0046122"	"purine deoxyribonucleoside metabolic process"
"GO:0042278"	"purine nucleoside metabolic process"
"GO:0019363"	"pyridine nucleotide biosynthetic process"
"GO:0009605"	"response to external stimulus"
"GO:0046434"	"organophosphate catabolic process"
"GO:0006811"	"ion transport"
"GO:0009205"	"purine ribonucleoside triphosphate metabolic process"
"GO:1903509"	"liposaccharide metabolic process"
"GO:0031224"	"intrinsic component of membrane"
"GO:0003735"	"structural constituent of ribosome"
"GO:0072522"	"purine-containing compound biosynthetic process"
"GO:0006520"	"cellular amino acid metabolic process"
"GO:0006820"	"anion transport"
"GO:0031975"	"envelope"
"GO:0055082"	"cellular chemical homeostasis"
"GO:0016773"	"phosphotransferase activity, alcohol group as acceptor"
"GO:0046031"	"ADP metabolic process"
"GO:0006805"	"xenobiotic metabolic process"
"GO:0006401"	"RNA catabolic process"
"GO:0002253"	"activation of immune response"
"GO:0008080"	"N-acetyltransferase activity"
"GO:0051254"	"positive regulation of RNA metabolic process"
"GO:0010467"	"gene expression"
"GO:0005887"	"integral component of plasma membrane"
"GO:0044281"	"small molecule metabolic process"
"GO:0016818"	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
"GO:0097237"	"cellular response to toxic substance"
"GO:1903825"	"organic acid transmembrane transport"
"GO:0007399"	"nervous system development"
"GO:0010038"	"response to metal ion"
"GO:0006259"	"DNA metabolic process"
"GO:0006555"	"methionine metabolic process"
"GO:0008653"	"lipopolysaccharide metabolic process"
"GO:0050044"	"galactose-6-phosphate isomerase activity"
"GO:0019569"	"L-arabinose catabolic process to xylulose 5-phosphate"
"GO:0044419"	"interspecies interaction between organisms"
"GO:0048522"	"positive regulation of cellular process"
"GO:0010558"	"negative regulation of macromolecule biosynthetic process"
"GO:0051188"	"cofactor biosynthetic process"
"GO:0009891"	"positive regulation of biosynthetic process"
"GO:0032550"	"purine ribonucleoside binding"
"GO:1900424"	"regulation of defense response to bacterium"
"GO:0016616"	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
"GO:1901363"	"heterocyclic compound binding"
"GO:0017000"	"antibiotic biosynthetic process"
"GO:0032991"	"protein-containing complex"
"GO:0016032"	"viral process"
"GO:0016860"	"intramolecular oxidoreductase activity"
"GO:0009653"	"anatomical structure morphogenesis"
"GO:0046040"	"IMP metabolic process"
"GO:0003977"	"UDP-N-acetylglucosamine diphosphorylase activity"
"GO:2000234"	"positive regulation of rRNA processing"
"GO:0016310"	"phosphorylation"
"GO:0009260"	"ribonucleotide biosynthetic process"
"GO:0044208"	"'de novo' AMP biosynthetic process"
"GO:0031327"	"negative regulation of cellular biosynthetic process"
"GO:0046686"	"response to cadmium ion"
"GO:0005886"	"plasma membrane"
"GO:0016043"	"cellular component organization"
"GO:0065003"	"protein-containing complex assembly"
"GO:0031669"	"cellular response to nutrient levels"
"GO:0019104"	"DNA N-glycosylase activity"
"GO:0016853"	"isomerase activity"
