"ID"	"name"
"map01110"	"Biosynthesis of secondary metabolites"
"map00240"	"Pyrimidine metabolism"
"map01120"	"Microbial metabolism in diverse environments"
"map01100"	"Metabolic pathways"
"map00623"	"Toluene degradation"
"map00450"	"Selenocompound metabolism"
"map00627"	"Aminobenzoate degradation"
"map00626"	"Naphthalene degradation"
"map00230"	"Purine metabolism"
"map00970"	"Aminoacyl-tRNA biosynthesis"
"map04626"	"Plant-pathogen interaction"
"map03010"	"Ribosome"
"map01230"	"Biosynthesis of amino acids"
"map00053"	"Ascorbate and aldarate metabolism"
"map00071"	"Fatty acid degradation"
"map03020"	"RNA polymerase"
"map00520"	"Amino sugar and nucleotide sugar metabolism"
"map01130"	"Biosynthesis of antibiotics"
"map00260"	"Glycine, serine and threonine metabolism"
"map00030"	"Pentose phosphate pathway"
"map01212"	"Fatty acid metabolism"
"map00630"	"Glyoxylate and dicarboxylate metabolism"
"map01200"	"Carbon metabolism"
"map00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"
"map00250"	"Alanine, aspartate and glutamate metabolism"
"map00910"	"Nitrogen metabolism"
"map00791"	"Atrazine degradation"
"map00310"	"Lysine degradation"
"map00625"	"Chloroalkane and chloroalkene degradation"
"map02024"	"Quorum sensing"
"map00051"	"Fructose and mannose metabolism"
"map00405"	"Phenazine biosynthesis"
"map02010"	"ABC transporters"
"map02060"	"Phosphotransferase system (PTS)"
"map00380"	"Tryptophan metabolism"
"map00561"	"Glycerolipid metabolism"
"map00040"	"Pentose and glucuronate interconversions"
"map00350"	"Tyrosine metabolism"
"map00906"	"Carotenoid biosynthesis"
"map00710"	"Carbon fixation in photosynthetic organisms"
"map00330"	"Arginine and proline metabolism"
"map01220"	"Degradation of aromatic compounds"
"map00270"	"Cysteine and methionine metabolism"
"map00220"	"Arginine biosynthesis"
"map00950"	"Isoquinoline alkaloid biosynthesis"
"map03430"	"Mismatch repair"
"map03030"	"DNA replication"
"map00190"	"Oxidative phosphorylation"
"map00760"	"Nicotinate and nicotinamide metabolism"
"map00364"	"Fluorobenzoate degradation"
"map00401"	"Novobiocin biosynthesis"
"map00983"	"Drug metabolism - other enzymes"
"map05146"	"Amoebiasis"
"map00920"	"Sulfur metabolism"
"map02026"	"Biofilm formation - Escherichia coli"
"map00900"	"Terpenoid backbone biosynthesis"
"map00052"	"Galactose metabolism"
"map00332"	"Carbapenem biosynthesis"
"map00010"	"Glycolysis / Gluconeogenesis"
"map00562"	"Inositol phosphate metabolism"
"map00620"	"Pyruvate metabolism"
"map03060"	"Protein export"
"map00362"	"Benzoate degradation"
"map03440"	"Homologous recombination"
"map00650"	"Butanoate metabolism"
"map00195"	"Photosynthesis"
"map00410"	"beta-Alanine metabolism"
"map00072"	"Synthesis and degradation of ketone bodies"
"map00780"	"Biotin metabolism"
"map00062"	"Fatty acid elongation"
"map00061"	"Fatty acid biosynthesis"
"map00253"	"Tetracycline biosynthesis"
"map00790"	"Folate biosynthesis"
"map00361"	"Chlorocyclohexane and chlorobenzene degradation"
"map01040"	"Biosynthesis of unsaturated fatty acids"
"map00121"	"Secondary bile acid biosynthesis"
"map00600"	"Sphingolipid metabolism"
"map00430"	"Taurine and hypotaurine metabolism"
"map00860"	"Porphyrin and chlorophyll metabolism"
"map00640"	"Propanoate metabolism"
"map03410"	"Base excision repair"
"map02025"	"Biofilm formation - Pseudomonas aeruginosa"
"map00340"	"Histidine metabolism"
"map00550"	"Peptidoglycan biosynthesis"
"map05120"	"Epithelial cell signaling in Helicobacter pylori infection"
"map05110"	"Vibrio cholerae infection"
"map05152"	"Tuberculosis"
"map00360"	"Phenylalanine metabolism"
"map00100"	"Steroid biosynthesis"
"map00564"	"Glycerophospholipid metabolism"
"map03013"	"RNA transport"
"map00642"	"Ethylbenzene degradation"
"map00280"	"Valine, leucine and isoleucine degradation"
"map00680"	"Methane metabolism"
"map01503"	"Cationic antimicrobial peptide (CAMP) resistance"
"map04916"	"Melanogenesis"
"map01502"	"Vancomycin resistance"
"map01210"	"2-Oxocarboxylic acid metabolism"
"map05231"	"Choline metabolism in cancer"
"map00980"	"Metabolism of xenobiotics by cytochrome P450"
"map00740"	"Riboflavin metabolism"
"map02030"	"Bacterial chemotaxis"
"map02020"	"Two-component system"
"map03070"	"Bacterial secretion system"
"map00770"	"Pantothenate and CoA biosynthesis"
"map05230"	"Central carbon metabolism in cancer"
"map04066"	"HIF-1 signaling pathway"
"map05150"	"Staphylococcus aureus infection"
"map00565"	"Ether lipid metabolism"
"map00020"	"Citrate cycle (TCA cycle)"
"map03450"	"Non-homologous end-joining"
"map00730"	"Thiamine metabolism"
"map00785"	"Lipoic acid metabolism"
"map04922"	"Glucagon signaling pathway"
"map00643"	"Styrene degradation"
"map00592"	"alpha-Linolenic acid metabolism"
"map01501"	"beta-Lactam resistance"
"map00500"	"Starch and sucrose metabolism"
"map03420"	"Nucleotide excision repair"
"map04070"	"Phosphatidylinositol signaling system"
"map05100"	"Bacterial invasion of epithelial cells"
"map04975"	"Fat digestion and absorption"
"map04361"	"Axon regeneration"
"map04917"	"Prolactin signaling pathway"
"map02040"	"Flagellar assembly"
"map00300"	"Lysine biosynthesis"
"map03018"	"RNA degradation"
"map00965"	"Betalain biosynthesis"
"map00480"	"Glutathione metabolism"
"map05111"	"Biofilm formation - Vibrio cholerae"
"map04112"	"Cell cycle - Caulobacter"
"map00523"	"Polyketide sugar unit biosynthesis"
"map04072"	"Phospholipase D signaling pathway"
"map00670"	"One carbon pool by folate"
"map00540"	"Lipopolysaccharide biosynthesis"
