"name"	"nb_strain_with_node"	"gene_set_size"	"p.adjust"
"Ascorbate and aldarate metabolism"	1	21	"0.00339335050275961"
"Biosynthesis of amino acids"	1	49	"0.0446522346484673"
"Biosynthesis of secondary metabolites"	1	104	"0.00284918641210145"
"Carbon metabolism"	1	63	"0.0314197204281755"
"Fructose and mannose metabolism"	1	43	"0.0102491735033015"
"Galactose metabolism"	1	48	"1.55574152282617e-06"
"Metabolic pathways"	1	207	"4.98245711866907e-06"
"Microbial metabolism in diverse environments"	1	92	"0.000146144219309186"
"One carbon pool by folate"	1	12	"0.0446522346484673"
"Other glycan degradation"	1	9	"0.00555376800775653"
"Pentose and glucuronate interconversions"	1	20	"0.0448275337092051"
"Phosphotransferase system (PTS)"	1	26	"4.33122606509804e-07"
"Ribosome"	1	49	"6.37033501716696e-07"
"Starch and sucrose metabolism"	1	29	"0.000272100094661396"
