"","METAB_3-Aminoglutaric acid","METAB_HMDB0000034","METAB_HMDB0000050","METAB_HMDB0000056","METAB_HMDB0000060","METAB_HMDB0000092","METAB_HMDB0000094","METAB_HMDB0000115","METAB_HMDB0000122","METAB_HMDB0000123","METAB_HMDB0000126","METAB_HMDB0000131","METAB_HMDB0000134","METAB_HMDB0000139","METAB_HMDB0000143","METAB_HMDB0000148","METAB_HMDB0000149","METAB_HMDB0000158","METAB_HMDB0000159","METAB_HMDB0000161","METAB_HMDB0000162","METAB_HMDB0000167","METAB_HMDB0000172","METAB_HMDB0000176","METAB_HMDB0000182","METAB_HMDB0000187","METAB_HMDB0000190","METAB_HMDB0000191","METAB_HMDB0000207","METAB_HMDB0000208","METAB_HMDB0000209","METAB_HMDB0000210","METAB_HMDB0000211","METAB_HMDB0000220","METAB_HMDB0000243","METAB_HMDB0000247","METAB_HMDB0000254","METAB_HMDB0000258","METAB_HMDB0000262","METAB_HMDB0000263","METAB_HMDB0000283","METAB_HMDB0000296","METAB_HMDB0000300","METAB_HMDB0000357","METAB_HMDB0000362","METAB_HMDB0000407","METAB_HMDB0000426","METAB_HMDB0000482","METAB_HMDB0000500","METAB_HMDB0000511","METAB_HMDB0000535","METAB_HMDB0000573","METAB_HMDB0000574","METAB_HMDB0000630","METAB_HMDB0000638","METAB_HMDB0000660","METAB_HMDB0000661","METAB_HMDB0000673","METAB_HMDB0000687","METAB_HMDB0000694","METAB_HMDB0000696","METAB_HMDB0000742","METAB_HMDB0000744","METAB_HMDB0000749","METAB_HMDB0000765","METAB_HMDB0000806","METAB_HMDB0000807","METAB_HMDB0000812","METAB_HMDB0000827","METAB_HMDB0000847","METAB_HMDB0000883","METAB_HMDB0000943","METAB_HMDB0000975","METAB_HMDB0001051","METAB_HMDB0001076","METAB_HMDB0001078","METAB_HMDB0001392","METAB_HMDB0001406","METAB_HMDB0001473","METAB_HMDB0001488","METAB_HMDB0001548","METAB_HMDB0001844","METAB_HMDB0001870","METAB_HMDB0002259","METAB_HMDB0002322","METAB_HMDB0002329","METAB_HMDB0002520","METAB_HMDB0002545","METAB_HMDB0003229","METAB_HMDB0003355","METAB_HMDB0003424","METAB_HMDB0013674","METAB_HMDB0029942","METAB_HMDB0032538","METAB_HMDB0034252","METAB_HMDB0059916","METAB_Glutathione-nTMS","METAB_HMDB0000067","METAB_HMDB0000127","METAB_HMDB0000168","METAB_HMDB0000214","METAB_HMDB0000306","METAB_HMDB0000625","METAB_HMDB0000700","METAB_HMDB0000714","METAB_HMDB0000754","METAB_HMDB0000784","METAB_HMDB0000996","METAB_HMDB0001414","METAB_HMDB0002931","METAB_HMDB0004825","METAB_HMDB0062477","METAB_Sedoheptulose-meto-6TMS","METAB_HMDB0000150","METAB_HMDB0000205","METAB_HMDB0000216","METAB_HMDB0000294","METAB_HMDB0000618","METAB_HMDB0000640","METAB_HMDB0000663","METAB_HMDB0000965","METAB_HMDB0031075","METAB_HMDB0000073","METAB_HMDB0000119","METAB_HMDB0000224","METAB_HMDB0000828","METAB_HMDB0000867","METAB_HMDB0001906","METAB_HMDB0011143"
"5448_1_RPMI",-4.89028447637635,5.21057738670122,3.42346594832227,-1.45123667729045,-10.2435793449979,0.923278790085217,-0.452733413373402,0.979551773466515,0.777978884522703,5.57448185412694,4.52400073692525,3.37296256065508,0.847301253351581,6.02381873177253,0.992792076310504,7.76323953483373,-0.103744755277653,-1.19126659971785,1.15218838833276,1.04229993824709,2.76298795254277,5.1716176345583,-0.15997508737145,-3.28089679771091,1.12318658303847,1.37442114576681,4.85779131711678,8.40653327998752,1.01429491470432,-0.927639589628079,-3.82329409736329,0.748070898095172,-2.53122546311584,5.25452085291654,0.934755477388531,7.3854930542849,0.358932706953421,3.42603922456042,1.81567209895755,2.89048620467214,1.01533837827461,2.62037173013286,3.91442399960703,-1.46197758885191,2.16068892790325,-4.31284200743498,-2.72713895780219,0.43959780500817,-2.20746106217424,0.269956177297466,1.41269853330325,0.807186924732889,-1.23706970101746,1.11786770957368,0.652026433177205,-1.33329528976034,-4.06681214473671,-1.07340221670623,1.20582207642371,0.826699213239653,-0.690188429477441,-10.2435793449979,-6.30224611790434,-4.57838652629433,7.39868037942654,1.63253840002693,6.26664416557913,-0.244004908995489,4.46770831792055,1.87539873327394,2.01479895440848,3.05521845289252,-0.257555991567084,-1.70971397233003,-4.48860069141415,-4.22645622745987,-10.2435793449979,4.69754121081261,-2.04783965476575,-0.852141109014163,-0.987733777972078,-3.85229970793049,2.3764297750289,-1.08758961764292,-1.40287533564014,-10.2435793449979,0.693656217433773,-6.93410331884558,0.608992056786967,0.202400651324592,-2.95823919488779,-5.02317666918358,-5.03569697230915,-1.08362337331523,-4.36883518179447,-2.15679301463217,2.62650992412868,-5.66063544687396,-4.02200844244576,5.14405605360643,6.20924652479564,-7.90241503124759,0.383507679034764,-0.604900477386439,-5.71581372908773,-2.9866978665594,-3.23430492572572,-5.46239568797973,5.58255436996661,3.54883361473567,-1.78902472605336,-10.2435793449979,0.836715070934382,-0.107456997303863,-5.72761498132008,-7.20890038047263,-0.99703798900817,-3.29980587472167,0.392187460958215,-3.74303819606986,-6.63858465571587,6.67267045719815,2.22778047124932,-10.2435793449979,-3.14159486377795,-4.29454585922276,-7.13071131709838,-10.2435793449979,-3.02168410282952
"5448_1_SERA",1.70115876039768,4.00339324781828,4.01643751328511,0.691132209379749,-10.0796314427135,1.38719779282935,0.808401784516985,1.43280081671095,1.01715523120373,4.99829122338845,4.33423205251377,3.73384108525574,1.80751504387198,4.93188516851141,1.7843183335842,8.36854770000547,-0.0239759509389401,0.0110405001558682,1.83693186486266,2.17655151526522,0.937284320647404,1.92455838240257,-1.43657428182371,-3.23329967935265,4.89007045033837,-0.332688854939944,3.69288172262739,8.65066871770884,1.36236922999792,-0.418104395003315,-3.50265893109434,-1.91196073158932,-1.65858327548802,5.43692813238044,0.252149686934128,7.82083275446005,0.51067301579949,-0.142055197559884,-0.510247297108149,-0.432692247131815,-0.478982617531823,1.33844400764204,2.36795281529353,-1.02473126246935,-1.06060050601283,-4.35098041715562,-1.60126220710627,0.738763076883824,-2.09060371541532,-0.00965461731658123,1.34699565719994,1.26631327460191,-0.709397518089702,0.666144383429607,0.92649692381227,-1.65825481147937,-3.71278118781971,1.76866328396575,1.86158114113244,1.65225988241238,-1.24239509615735,-10.0796314427135,-5.01195346043976,-4.67240645900165,7.82521936365195,1.52852723319443,3.11722334773778,1.53460593083428,4.44603592688927,1.82972558094401,2.44099547685692,2.48095305086908,0.00965461731658123,-1.7162757132745,-2.51657837494077,1.04917131940516,-6.04318121333605,5.04980042444571,-1.05230017588845,-0.0467906183328424,0.926606370127429,-1.56194884520351,2.51263588250864,-1.27229813357905,-1.42321857764799,-0.381649358862365,0.493297636674647,-5.87900554634954,1.2146307926528,-1.84575444625705,-1.44946817176528,-4.49003684672523,-5.15637376085667,-3.13444294885306,-10.0796314427135,-3.28207871328833,2.67104885031269,0.820267801995275,-2.05841854578868,2.68499667338635,6.45888495745019,0.268420856108612,2.2073623151238,-0.259891687853742,-6.88200243556959,-2.99509055255343,-4.09224342343695,-4.51846525505175,7.13692961453742,3.62737656853539,0.217338640440708,-3.27825400888527,-1.92372658326729,1.20059049518106,-10.0796314427135,-0.504472947968106,-2.52005545401691,-4.20786054719127,-1.27208201891616,-1.45991613133082,-10.0796314427135,6.30641446089164,-0.700151311034183,-10.0796314427135,-4.50053068822596,-3.16461432612629,3.38480723405839,-10.0796314427135,-2.92954342978766
"5448_2_RPMI",-6.95422004135846,4.34880648600374,2.68262383817521,-1.2358200197562,-10.2497655750348,1.29634228955858,-0.184372031568838,0.784003849019641,0.177895059633101,5.73986391388603,4.51012086321104,2.65834616495086,0.887951972855628,6.51504019464694,0.648561896414094,7.95067590828668,-1.01076782328099,-4.1973251713452,1.13881159797651,0.263385723213961,0.886662190066815,4.14256220382158,-1.14621372214027,-3.92868494925132,0.000604386790076461,0.417530554264733,3.51661811629135,8.44439748092318,0.461612683981976,-0.965123882453884,-4.19033944580642,0.453783858101122,-3.4662069660366,4.54432757280324,0.977143589575093,-0.000604386790076461,-0.530215962058429,-0.393904186813039,1.55471468930387,2.83804318783845,0.0483431357924644,2.36042166434325,3.74052105503192,-1.50511230859368,2.03566961676594,-4.94757903293869,-3.51938092464213,0.621152472892138,-2.50843433123979,0.092823711244133,1.38880093161242,0.431608456368533,-0.989927542674764,1.08073402247797,0.289764091274634,-1.90683647134862,-4.79275661866435,-0.744646747077754,1.3538949943808,1.29427502877785,-0.276227105128729,-10.2497655750348,-6.74527315108696,-5.14785157748691,0.0895538837732168,0.277875420977534,6.04267102825024,0.206023628730833,3.84044399964274,1.69310558463371,2.49727420029479,3.61356777303173,-0.367994626020419,-2.02227076911298,-6.7548135670238,-3.96079718914589,-4.61777068227683,4.08171453444329,2.93751490906726,-1.90600602929336,-0.610368158091635,-3.68583354237468,2.33593899807564,-1.9880492490382,-1.3344877201574,-0.531686728174435,0.408931150287483,-6.42025251603069,0.27656297912846,-2.73237361174246,-3.5533347700525,-4.95348064010837,0.0623635912323586,-3.88291532014101,-10.2497655750348,-10.2497655750348,2.71624986120316,-7.45351904311026,-6.63367317686946,4.47871532616433,6.16675491266629,-3.72883713991804,0.917168363696959,-0.923411498894666,-6.17488778222545,-3.14665382312928,-4.32507261362909,-4.55772938551977,6.49160517329718,3.76972312415634,-1.92629515370513,-1.77405934240637,0.656847630138433,0.293506341280239,-10.2497655750348,-4.11647679591214,-2.93639553131672,-10.2497655750348,0.216177399039037,-3.22926098716637,-10.2497655750348,6.4274246415498,1.75884869500493,-10.2497655750348,-3.41085778943866,-2.34202800785112,2.14344309879677,-5.30434137878458,-2.80865958831535
"5448_2_SERA",-3.18779986943638,2.67404386895114,3.48893995654229,0.67110582261323,-9.20150192397718,1.71240652885705,0.610158313562144,1.81628269643036,0.603604539843141,5.28187048207572,2.98054033281181,3.54934413987187,1.92063553779032,4.03267153631861,0.661405811512969,9.0389751360184,0.0915298941000007,-0.374633565198435,1.47715728967272,1.6723395505551,-0.689643164335859,1.01634195307577,-2.16261975080882,-3.31361687483112,4.6898925150255,-1.32754177811955,4.17707388671056,9.34884456995884,0.919814285322166,-0.685140863127923,-3.22084476006509,-1.77416798518804,-2.15381071693195,5.36049673573238,0.0554586855922974,1.15934516020248,0.479925172505064,-0.451711218378895,-0.777688025974969,-3.62442799623618,-0.32554131436971,1.30111632841624,3.58407534176536,-0.274559246190972,-3.51396771197855,-3.74935053125604,-1.32342014276788,-0.0554586855922974,-3.27521588042983,0.495033907397673,1.46436452620039,0.910185176641066,-1.53397360558116,0.70562062995412,1.07711123901148,-2.32546985012638,-3.50647220198439,0.310051760240512,1.35420024499534,0.967927099419343,-1.58210663982124,-9.20150192397718,-4.0529826881693,-4.87425824931999,1.11828383706037,1.45418486354751,0.950519134963821,1.31694000931867,4.5338560348538,1.59226502419698,2.39002983524955,-2.08926360366392,-0.58405294864944,-1.14895210778366,0.453585914438627,2.97831261231835,-9.20150192397718,4.26055338078976,-1.80491727195186,-2.7636870248648,0.272975362921529,-2.34878914438787,3.11764165292973,-1.34816096615726,-0.196235333242067,0.561264688501204,-0.245491282970692,-5.32010189956149,0.530853333704433,-2.02976259191525,-1.72050169056494,-4.10523780653397,-2.49687872661247,-3.69551724052635,-4.70513738091276,-4.08947356728631,1.55033976879566,1.14717425261561,-1.9991972834858,3.32069943118104,6.12146850870023,0.414257301089195,1.94537423607721,0.0593465870300811,-5.56814093503515,-2.75588985850583,-3.58995718748747,-6.01021909293535,7.56350382111588,3.79509359817231,0.325227051508612,-1.58773099666974,-1.62966021933388,1.54146303856688,-9.20150192397718,-0.377023652936561,-1.49627544772141,-4.79816098975601,-1.16206760757391,-1.24383501716738,-9.20150192397718,7.47973768558409,-0.149955366461329,-9.20150192397718,-4.22683711189279,-0.109152712321386,0.110909007510845,-3.36250956004066,-1.86171169095444
"5448_3_RPMI",-0.0815238023323452,4.64054095949396,1.3246631325832,-1.19960894084618,-9.92270290858047,1.70215693243523,-0.510850726836146,0.802102763942045,-0.628053980729973,6.26604758856134,4.39120112612662,3.21729580459388,0.712637842439591,5.38434767807829,-0.696290715791683,8.12065383981404,-0.562305045313062,0.0255173137372893,2.60529060271942,1.28517537074671,3.85199779607959,6.15756705171127,0.664999108563272,-3.41341941887823,0.718518442290367,4.10500309398048,4.66923471301743,8.78039993802171,0.156253804023134,-0.82971524995766,-0.701667325860097,1.49465053062637,-1.85210467245616,5.18551372928087,1.2933796667956,4.75906353714685,0.54014243155277,0.0684479485763774,1.51285898798728,2.62574567697448,0.749799559222623,1.64589406066863,3.4635022833553,-0.432451005376072,1.87858499967924,-1.86077452376796,-2.97108570104192,-0.415879506970265,-1.81049958008231,-0.0255173137372857,1.56768025167435,0.0751490757777802,-1.54216194496311,1.14287587237034,0.644123735713453,-0.460369264290586,-4.57320273566213,1.47651765815268,2.42583031985038,1.11887815612858,0.659590650509429,-9.92270290858047,-6.59401292298421,-5.29363972794881,4.77251406810807,1.25281315263269,5.85097651601614,0.859069353213883,4.45806910031259,0.947128967285732,3.39980658749796,4.13549714128944,-0.503336525493397,-1.27669396570255,-2.76082013372616,-4.18781155514021,-9.92270290858047,4.558950516205,-0.896761104576126,-2.69227136711629,-1.28634870543823,-4.99562098315664,2.72114874250725,-1.49410385465292,-2.04833006890433,-0.191691472650433,0.661357878152845,-9.92270290858047,-0.256210799449425,-2.67089487170929,-3.20864183159996,-5.39074584567536,-4.55385957582754,-2.03297948466981,-9.92270290858047,-7.1236712502294,0.832683201866029,-7.37203358541319,-3.24015600462828,5.54879394384517,7.01848128262652,1.94065447797689,0.0589601418258674,-0.460536921336136,-4.7085468023267,-2.85365419457333,-2.77520770809836,-4.08947319697105,6.02415232206866,4.88285264255152,-1.82753601880677,-9.92270290858047,2.25161748964832,0.0698743071743095,-1.78037308489926,-9.92270290858047,-0.324550463317754,-2.43791379879294,2.13831256517575,-9.92270290858047,-9.92270290858047,5.43996011487846,1.94560436143154,-9.92270290858047,-3.72256956516505,-9.92270290858047,1.57300124017256,-0.30933985917822,-4.40822051220391
"5448_3_SERA",1.49349884827427,0.84999842575259,2.24113231380929,0.78714336683124,-9.29089995289873,2.34844379102212,0.188975234645287,1.18792394736136,0.45245573363511,5.51424641398744,4.36340492797934,3.78056353448518,1.63234277061246,4.47963160991114,1.05553197480817,8.8665291493066,0.133491820878017,0.000865638769381505,1.22884842282849,1.80397036519983,1.42763292317049,1.87833147242746,-1.90823966267076,-2.97297143518122,4.01458897003179,-0.302577452971878,4.483071018862,9.27546992704827,1.74555488630979,-0.551040073233835,-3.02637863516885,-2.62503946268241,-2.37411875811821,5.67061013457132,-0.00414839892172125,-0.106107795524821,0.817001671348264,0.2100822461682,-1.28279098330539,-2.21796257065882,-1.49008689430999,-0.180114506618763,2.55997121238449,-0.0534734152272342,-2.16320851277251,-3.61014515834483,-1.90002410085572,1.48858255218179,-1.41892238234702,1.07158082099306,2.05304957725247,1.58320980810926,-1.43957012896713,0.693365565641257,1.34571858564903,-2.48375401123447,-3.37676568496358,0.294528947855438,1.49023418435568,1.81530286713981,-1.4910424941191,-9.29089995289873,-5.1410164663595,-9.29089995289873,-0.000865638769381505,1.81301708188435,2.28242635435146,1.58546762795863,4.73044513097359,2.7326055726698,2.2032408405037,3.35189833669261,0.0170877759675356,-0.82173619524721,-1.61241335737282,-3.18382903209648,-9.29089995289873,3.92911208892087,-1.81014143446889,-1.07391001828255,0.0189367444756989,-0.807003039504972,3.27657606280786,-1.30149116510155,-0.245607546331978,0.455434007405218,0.530702836293292,-9.29089995289873,1.57336410690251,-2.07355211420995,-0.871604275946261,-4.32302575902099,-3.24196513774997,-3.49971520781163,-9.29089995289873,-9.29089995289873,0.189517534949903,1.5380085826395,-2.287499952538,1.47957548719514,5.42304619696553,0.69325084980453,1.54425496821641,0.22399278324349,-7.70593745217757,-2.43601065722623,-4.61562961879862,-9.29089995289873,6.88543964409646,4.41342948975118,0.151556552580855,-3.15457972176294,-3.61127816497967,0.922122693105502,-3.77684125550932,-1.43137558906939,-1.27386737723314,-2.33756283126791,-0.696312329150176,-2.24584581292294,-2.0783750059903,6.1318608849936,-0.571384793849688,-9.29089995289873,-3.70130535691047,-9.29089995289873,-0.398504851857638,0.549286550737898,-2.77970448303621
"5448_4_RPMI",-0.0735923415107429,4.37911244000471,2.81689660642308,-1.65594498558999,-10.1032501435437,0.972798717197925,-1.1662368088464,0.730059173085511,0.198986917460953,4.51764042786879,4.85014954283599,1.48309536106207,1.58385835049239,6.29943881768067,0.189959166241035,8.04089830986697,-1.34990998401454,-0.122180960363053,0.659354848969915,1.94652761218206,3.20632825843409,3.48361246551481,-1.53143388437932,-2.89739950526313,2.34732281845951,0.33950553263691,3.57965977452557,8.59477458511543,0.949039804403032,-0.656430505629872,-5.3927903809813,0.811069768110755,-4.74239569625199,5.18987548740935,1.73967755470812,1.25723978458485,-0.413334229687111,-0.671661396095439,1.9033512744065,3.3379385465732,1.70147914179516,2.9045590875158,3.79857915112806,-1.74655446922116,2.66296885787641,-4.23877313714145,-3.66677614302453,1.05538072237416,-3.59014522408363,-0.144619580829698,2.02950618231333,0.839426711940206,-0.599757864090806,1.33494514824153,0.306959302610906,-2.83172276914227,-4.46735554563824,0.0735923415107393,0.0917132344288305,1.78445860495292,-1.03866107772726,-10.1032501435437,-6.51425889113749,-10.1032501435437,1.3415806255159,1.19608466413823,6.70772636077636,0.351752910499961,4.50638761978578,2.05322111465804,0.910690729415943,3.4195181474928,-0.187260512515465,-1.4788165243826,-10.1032501435437,-3.58417141072774,-10.1032501435437,4.67850871228644,-0.729110839684787,-1.79161610352534,0.0623991839560309,-5.05651065477477,2.33299501151812,-1.5021648956429,-1.9108745748904,-10.1032501435437,1.03363347655419,-5.48514412452226,0.838294800371298,-2.42282571735366,-3.36649636998732,-5.76830951143186,1.70352381859664,-3.0960817389902,-10.1032501435437,-6.35447195819316,3.22480255166359,-7.34085138210285,-4.01906599407953,5.78593748920798,7.60451941103813,-1.53893438477529,0.24227417610242,-0.682442111198096,-6.33302416416113,-3.10908657245348,-4.6230631084174,-3.81623507371316,5.6177434614247,4.05586190189887,-1.77543379741882,-3.44484694052041,0.0970724959071099,0.137133024794672,-10.1032501435437,-3.06245477663056,-0.930352849215481,-2.2091241544235,0.715508946158746,-3.41018422647955,-10.1032501435437,5.69873161208537,2.73053273215554,-10.1032501435437,-1.11916626262453,-0.359759844652917,1.54532761597691,-2.86202676375013,-3.35222287745068
"5448_4_SERA",-2.96270541079797,3.21672466786963,3.44072461861134,0.865702307239193,-9.57355685339549,3.50967146519644,0.34259312941894,1.43074374837473,0.347102189980465,4.56863213880984,4.37384658218016,3.8929311161769,1.83969834995943,4.06997629749824,0.686336457813546,8.82434477979857,0.234673120063665,-1.74589978137503,0.662593818607615,1.69299782268357,-0.350057203036227,0.486005379566716,-2.94205016579291,-3.39545184235515,3.47775360892572,-0.321256545657002,4.48291663597256,8.97999973827798,1.48555618850859,-0.532926951082647,-5.0508371011224,-1.52509740889069,-2.63798636209666,5.55283336892627,-0.283336945838606,5.73543801245622,1.38450435408742,0.561532618493526,-0.563775193712301,-2.58289127958509,-0.937637915449692,0.257431501695624,3.15482167819721,-0.85951883315872,-3.21541457216802,-4.54094711682179,-1.38111508481372,0.881156458519328,-4.3116827989239,0.611709397288593,1.62510654319296,1.38963503018657,-1.011544983716,1.1436767738083,1.30059417802707,-2.31339379713279,-4.55044442355521,0.442475502775697,0.852320830172587,1.81767592156433,-1.24978420836754,-9.57355685339549,-3.68698051965011,-9.57355685339549,5.72641581392605,1.84923815105236,1.21719616386191,2.05487951187008,4.58127877326204,2.22152671221501,1.85128930642212,3.38345873453136,0.0347786022814205,-1.4767621187699,-1.05255914185775,-2.68408286103004,-9.57355685339549,4.10330910873951,2.71794598547833,0.058279390807467,0.109658483938405,-1.24592132633513,2.97774656932035,-1.42684723920931,-0.500170069844618,-0.00879354312551861,0.843198175338582,-5.86797910737113,1.36292793562717,-1.46590970289741,-1.50634810480487,-5.36279563250438,-0.937637915449692,-1.92520530411934,-9.57355685339549,-3.94195251154433,1.17132776564241,1.49213034821883,-2.33964769520376,1.31119245141095,5.1843207653305,-0.0326422028615436,2.17592735857167,-0.018440195087658,-3.91333357737247,-7.13630051057987,-3.96518418368515,-9.57355685339549,7.55067093995914,4.41909936517348,0.663107510287361,-6.53415933996772,-2.96687218523325,1.40176699044038,-9.57355685339549,-1.17350840489507,-2.24733852695743,-6.0420183876327,-0.197540751746795,-1.50159065600606,-9.57355685339549,6.1982432970046,0.00879354312552038,-9.57355685339549,-2.0036502853485,-9.57355685339549,-0.325358637077562,0.174827382091822,-2.24504757739312
"5448_5_RPMI",-3.60406933150714,5.05360327609126,0.450677913794614,-1.33117048637394,-10.5764998553457,0.974295341810578,0.0503667481851977,0.669439621200279,-0.0428299418486162,5.18037912336311,4.59857108900707,2.57621353209037,1.28673278658116,6.18460938071963,-0.0657887796565007,7.79315297977284,-0.838827156880491,1.21167376715095,1.75964159817163,1.63313954327407,4.10174615495844,5.65714181097451,-0.555314911397247,-3.52107182543109,2.5479977328376,4.09645749682296,3.63476630949141,8.28893155523124,0.435651259179121,-0.491700383330404,-4.87960232490853,1.78393299326107,-3.41176162349844,4.46305090178788,1.17269748708061,4.56950733230329,-0.363656687581557,-0.73980343759353,1.52355609663447,3.39010660379046,1.17356354672136,4.00344760166368,3.59403280197455,-1.72129690985978,2.45756627119241,-4.65691661054964,-4.06148801016104,0.183349239907582,-3.84648000552157,-0.483982137185599,1.08989991167533,0.347560363641133,-0.467019742004869,0.928382437100613,0.0999128231250417,-2.4865403521372,-4.55502609008857,-0.977598042441208,1.06192087268495,2.40422079594784,0.435876272296948,-10.5764998553457,-6.24925618068847,-6.19901270813316,4.58356322526968,0.540781522520437,6.42063869399424,1.01033678485037,3.45734172959751,1.14679744783226,1.84108544545406,4.198241954911,0.0109504693108455,-2.06490637502269,-10.5764998553457,-6.86831007152089,-10.5764998553457,4.46288126895496,3.03133903947708,-1.65095039363856,-0.288908972405178,-4.97489107438873,1.92534233774643,-2.42835601476514,-3.21429123463477,-1.11573475635513,1.14750746515137,-4.81340728124774,0.387962159975832,-3.86077966045063,-4.04046782275001,-5.52508103536031,1.17356354672136,-3.736070417743,-4.66429367996731,-6.84657122007861,3.36059805338531,-7.64719179362954,-4.98610119354816,7.74281202062356,7.18217134906367,-1.73833234181232,0.389018135522626,-0.912034673464976,-4.33482856277771,-3.42600287661131,-4.52990684051368,-4.03442881910161,5.35710679909817,4.48402806174228,-0.930043833056363,-10.5764998553457,0.175555197374155,-0.244268017298154,-10.5764998553457,-4.02841498889205,-1.85551539296603,-6.72085791464736,-0.044209309776253,-3.93681316719664,-10.5764998553457,5.9883790165408,2.8190225992303,-10.5764998553457,-1.21415882937724,0.499217075011259,1.60132306445549,-0.812507749693424,-3.25911759461812
"5448_5_SERA",1.9122754563899,2.69032043354263,3.28283013601681,0.575546439208242,-9.75799165751246,3.38781977226629,0.059989928799439,1.38623457089775,0.336677812997804,5.35816229362322,4.45061863715703,3.33187756834878,1.84753447011586,3.33305207064378,0.393007849586986,8.68948044148297,-0.00749261031799264,-0.864252392610359,1.03102221071743,1.81758883143299,1.2046860380881,1.46936180847809,-1.74777804476864,-3.2463716470625,4.69099551696821,0.00742516734851328,4.50405045738855,8.838358248262,1.57019755637453,-0.388167452254319,-4.39478294233393,-1.66850118491162,-2.84185169616254,5.61298664340364,-0.302099044878309,8.08741851209922,1.24223053157892,0.726317627334865,-0.437138116938405,-2.87362647659137,-0.652364338361915,1.15062764330191,2.99091453838508,-0.783192128328507,-3.3110471559816,-3.40789790505853,-1.79247850880452,1.23975142150881,-4.37515731443718,0.479859918098732,2.02018196312886,1.405130321906,-1.16480736058923,1.00707468335238,0.933664048976866,-3.49171964299602,-2.86626910832954,0.844346013748936,1.21140452216861,1.94183986572273,-1.12934428496044,-9.75799165751246,-3.62608291966675,-9.75799165751246,8.10708616114444,1.70025322729142,1.21836102075588,2.31697366174277,4.59650596088927,2.11626512395895,2.30536496466766,3.37766706345009,0.511550823465178,-0.987610453062132,-1.84197154698865,-3.38341892897297,-9.75799165751246,3.82295214421536,2.80874726283318,-9.75799165751246,0.168008619296689,-2.01720351189782,2.7364965081877,-1.14147981745791,-1.58830201422317,-0.212949455598045,0.98664467923313,-6.4744921637332,1.15420949342606,-1.96842519082375,-1.64620829700821,-4.89334847072174,-3.7090568423637,-2.43249754529127,-3.85643629926681,-9.75799165751246,1.54961030512127,1.81564599991291,-4.74924345377314,3.08853336733733,6.19022871794774,0.41769602877703,1.26095062558736,-0.0074251673485115,-6.46441971517113,-2.85976057626952,-2.9290990912654,-9.75799165751246,7.08786694964594,3.72405235546801,0.664644630923387,-2.45378200082373,-3.33454433728953,0.991174744594758,-9.75799165751246,-5.06839229512544,-1.27983962574342,-2.4203547903471,-1.04996092819993,-1.82064252523439,-1.57731484803561,7.31255023208461,-0.528446960941936,-9.75799165751246,-0.836150720437974,-9.75799165751246,-0.535918059630934,-0.00990014014844753,-2.3718542938017
