"name"	"nb_strain_with_node"	"gene_set_size"	"p.adjust"
"Amino sugar and nucleotide sugar metabolism"	2	18.5	"0.00750547389621308,0.00388998148249717"
"Aminoacyl-tRNA biosynthesis"	1	15	"0.0472100242064037"
"Ascorbate and aldarate metabolism"	5	17.8	"0.00980171382343744,0.0275786740388207,0.000624206190998809,0.00130578181286576,0.00155060988036228"
"Biosynthesis of amino acids"	5	32.8	"0.021250495897104,0.00344420109893367,0.0398729780747833,0.015441494746708,0.0303799323071206"
"Biosynthesis of antibiotics"	2	52.5	"0.00968018803961439,0.015788627835873"
"Biosynthesis of secondary metabolites"	5	76.4	"0.00909570821620757,0.000276788759138976,0.0121114804019611,0.00707130124009027,0.000830006274963232"
"Butanoate metabolism"	1	18	"0.0224000764683392"
"Carbon metabolism"	5	45.4	"0.0409631522810972,0.00886451357626524,0.0170983627749381,0.0148072887477795,6.26811849234048e-05"
"Chloroalkane and chloroalkene degradation"	1	6	"0.0423725789328123"
"Citrate cycle (TCA cycle)"	2	9.5	"0.0328204965192791,0.00982219424171531"
"Degradation of aromatic compounds"	2	9.5	"0.0201505240389707,0.0390713263389772"
"Epithelial cell signaling in Helicobacter pylori infection"	1	5	"0.0467804193036438"
"Fatty acid biosynthesis"	4	11.25	"0.00054212497420834,0.00102087878892266,2.44739741348186e-05,0.00441840703086722"
"Fatty acid metabolism"	4	11.75	"0.00118248205518809,0.00105479701949502,0.000171722697725455,0.00614000106703995"
"Fructose and mannose metabolism"	5	29.8	"0.0272283187648664,0.00315881596074667,0.00128491512855031,0.0133340655080608,0.00267048111436266"
"Galactose metabolism"	5	43.4	"0.000109084887472379,4.62499986245471e-05,1.56042153609212e-09,2.28812216866549e-07,2.79050984036074e-06"
"Glycolysis / Gluconeogenesis"	4	25.25	"0.0438671767083511,0.0187798782648361,0.022555006597723,0.0100379915244211"
"Glyoxylate and dicarboxylate metabolism"	1	15	"0.0291312198943625"
"Histidine metabolism"	1	7	"0.0236880324316089"
"Lysine degradation"	1	9	"0.030052309452466"
"Metabolic pathways"	5	150.4	"0.000979916440109922,4.62499986245471e-05,5.02124403348398e-06,1.65578089882259e-05,1.19822076299785e-08"
"Microbial metabolism in diverse environments"	5	66.6	"0.000845442574052543,0.0038751649166655,4.48530013791231e-05,8.61827664526708e-06,1.2209979290111e-07"
"One carbon pool by folate"	5	11.4	"0.0024452806826215,0.0102510903091035,0.00135856197928024,0.000518913557796515,0.000475904140804682"
"Other glycan degradation"	5	7.2	"0.0340496293820906,0.0123318259514897,0.00906242204090077,0.00269520000390944,0.0166421326916904"
"Pentose and glucuronate interconversions"	5	15.8	"0.025933888923016,0.0266283734098839,0.0135390429297239,0.0380606910807028,0.00773677582950243"
"Pentose phosphate pathway"	4	24.75	"0.03708486202491,0.019130425161801,0.0251416672469304,0.0438186784376931"
"Phosphotransferase system (PTS)"	5	26.2	"7.72290622320429e-05,1.30376341855701e-05,1.55096365977461e-07,1.38910272667734e-07,2.88618193628622e-07"
"Photosynthesis"	2	8	"0.00745242990140949,0.0191776479259073"
"Prodigiosin biosynthesis"	2	3	"0.00834726478214357,0.0426073743787779"
"Propanoate metabolism"	2	19.5	"0.0106528961432905,3.35453043067883e-06"
"Purine metabolism"	4	26	"0.00436968145507112,0.00304576838059865,0.00872371684532859,0.00938164350090249"
"Pyrimidine metabolism"	2	14.5	"0.0205395488633465,0.0252091954044889"
"Pyruvate metabolism"	3	22	"0.0038751649166655,0.0480051062670332,0.000279784532593092"
"RNA degradation"	1	9	"0.0294608470454091"
"Ribosome"	5	35	"0.000128634688975181,0.00080980143529748,3.81858417883004e-08,1.76673126872678e-13,3.5471548062078e-23"
"Starch and sucrose metabolism"	5	26	"0.000517690596049694,0.00418461058365551,5.02085968024257e-07,1.65578089882259e-05,0.00085886218293102"
"Synthesis and degradation of ketone bodies"	1	6	"0.0467804193036438"
"Valine, leucine and isoleucine degradation"	1	15	"0.00521219785179689"
