"from"	"to"	"nb_condition_with_edge"	"similarity"
"Biosynthesis of amino acids"	"2-Oxocarboxylic acid metabolism"	2	0.271052631578947
"C5-Branched dibasic acid metabolism"	"2-Oxocarboxylic acid metabolism"	3	0.383241758241758
"Lysine biosynthesis"	"2-Oxocarboxylic acid metabolism"	1	0.342105263157895
"Valine, leucine and isoleucine biosynthesis"	"2-Oxocarboxylic acid metabolism"	3	0.460774857326581
"Arginine and proline metabolism"	"Alanine, aspartate and glutamate metabolism"	1	0.244897959183673
"Biosynthesis of amino acids"	"Alanine, aspartate and glutamate metabolism"	1	0.216867469879518
"beta-Alanine metabolism"	"Alanine, aspartate and glutamate metabolism"	1	0.2
"Histidine metabolism"	"Arginine and proline metabolism"	1	0.230769230769231
"Fatty acid degradation"	"Ascorbate and aldarate metabolism"	1	0.3
"Fructose and mannose metabolism"	"Ascorbate and aldarate metabolism"	3	0.22394342831073
"Glycerolipid metabolism"	"Ascorbate and aldarate metabolism"	1	0.275
"Inositol phosphate metabolism"	"Ascorbate and aldarate metabolism"	2	0.261111111111111
"Microbial metabolism in diverse environments"	"Ascorbate and aldarate metabolism"	1	0.208333333333333
"Pentose and glucuronate interconversions"	"Ascorbate and aldarate metabolism"	1	0.382352941176471
"Pentose phosphate pathway"	"Ascorbate and aldarate metabolism"	2	0.240372272143774
"Tyrosine metabolism"	"Ascorbate and aldarate metabolism"	1	0.321428571428571
"Biosynthesis of antibiotics"	"Biosynthesis of amino acids"	2	0.496006470528764
"Biosynthesis of secondary metabolites"	"Biosynthesis of amino acids"	2	0.446465501034029
"Carbon metabolism"	"Biosynthesis of amino acids"	2	0.333626039105491
"Cysteine and methionine metabolism"	"Biosynthesis of amino acids"	1	0.274509803921569
"Glycine, serine and threonine metabolism"	"Biosynthesis of amino acids"	1	0.272727272727273
"Lysine biosynthesis"	"Biosynthesis of amino acids"	1	0.28125
"Metabolic pathways"	"Biosynthesis of amino acids"	2	0.290583510692206
"Methane metabolism"	"Biosynthesis of amino acids"	1	0.202247191011236
"Microbial metabolism in diverse environments"	"Biosynthesis of amino acids"	2	0.38791144200627
"Valine, leucine and isoleucine biosynthesis"	"Biosynthesis of amino acids"	1	0.211267605633803
"Biosynthesis of secondary metabolites"	"Biosynthesis of antibiotics"	3	0.710949322659415
"Butanoate metabolism"	"Biosynthesis of antibiotics"	1	0.213114754098361
"Carbon metabolism"	"Biosynthesis of antibiotics"	4	0.512222977217963
"Glycine, serine and threonine metabolism"	"Biosynthesis of antibiotics"	1	0.297872340425532
"Glycolysis / Gluconeogenesis"	"Biosynthesis of antibiotics"	4	0.298460993592839
"Glyoxylate and dicarboxylate metabolism"	"Biosynthesis of antibiotics"	3	0.304236606456345
"Metabolic pathways"	"Biosynthesis of antibiotics"	4	0.448705447526748
"Methane metabolism"	"Biosynthesis of antibiotics"	2	0.208527131782946
"Microbial metabolism in diverse environments"	"Biosynthesis of antibiotics"	4	0.541017926782593
"Pentose phosphate pathway"	"Biosynthesis of antibiotics"	1	0.208
"Carbon metabolism"	"Biosynthesis of secondary metabolites"	4	0.440883959927504
"Glycine, serine and threonine metabolism"	"Biosynthesis of secondary metabolites"	1	0.225641025641026
"Glycolysis / Gluconeogenesis"	"Biosynthesis of secondary metabolites"	4	0.232841015119763
"Glyoxylate and dicarboxylate metabolism"	"Biosynthesis of secondary metabolites"	2	0.222156235724075
"Metabolic pathways"	"Biosynthesis of secondary metabolites"	4	0.584487773097867
"Microbial metabolism in diverse environments"	"Biosynthesis of secondary metabolites"	4	0.488895271128458
"Pentose phosphate pathway"	"Biosynthesis of secondary metabolites"	1	0.2
"Carbon metabolism"	"Butanoate metabolism"	1	0.202127659574468
"Fatty acid degradation"	"Butanoate metabolism"	1	0.483870967741935
"Glycolysis / Gluconeogenesis"	"Butanoate metabolism"	1	0.25
"Glyoxylate and dicarboxylate metabolism"	"Butanoate metabolism"	1	0.333333333333333
"Inositol phosphate metabolism"	"Butanoate metabolism"	1	0.314285714285714
