"name"	"nb_condition_with_node"	"condition_info"	"gene_set_size"	"p.adjust"
"2-Oxocarboxylic acid metabolism"	3	"BPH2900,BPH2947,BPH2986"	21	"0.0189288073019188,0.0157960420169404,0.0279171275667159"
"Alanine, aspartate and glutamate metabolism"	4	"BPH2760,BPH2900,BPH2947,BPH2986"	28	"0.0257408039553919,0.0421298729892221,0.000711261712147742,0.00188035939647068"
"Arginine and proline metabolism"	1	"BPH2986"	27	"0.032802681646078"
"Ascorbate and aldarate metabolism"	4	"BPH2760,BPH2819,BPH2947,BPH2986"	22	"0.00638859977618873,0.00297343162250707,0.0113056069614784,0.0204854248730542"
"Biosynthesis of amino acids"	2	"BPH2947,BPH2986"	82.5	"0.0408311537076061,6.19148769654552e-05"
"Biosynthesis of antibiotics"	4	"BPH2819,BPH2900,BPH2947,BPH2986"	117.25	"0.02628505346914,0.0152962930077216,0.000551455505586252,0.00095945197759178"
"Biosynthesis of secondary metabolites"	4	"BPH2760,BPH2819,BPH2947,BPH2986"	160.5	"0.0370128726199929,0.0173744192265286,0.000381457561380545,2.35986908609118e-05"
"Biosynthesis of various secondary metabolites - part 3"	3	"BPH2760,BPH2947,BPH2986"	9	"0.000418647522178982,0.00111574728771148,0.00611558709638814"
"Butanoate metabolism"	1	"BPH2947"	28	"0.0321756530973091"
"C5-Branched dibasic acid metabolism"	3	"BPH2900,BPH2947,BPH2986"	11.6666666666667	"0.0121613264991498,0.00710091819108715,0.0332246960017383"
"Carbon metabolism"	5	"BPH2760,BPH2819,BPH2900,BPH2947,BPH2986"	81.2	"0.0146231945790038,6.51082366833499e-05,0.0306817980684188,5.9068059423007e-05,9.99036578545466e-06"
"Clavulanic acid biosynthesis"	1	"BPH2760"	5	"0.0314900980933675"
"Cysteine and methionine metabolism"	1	"BPH2986"	35	"0.00883920826440452"
"Drug metabolism - other enzymes"	2	"BPH2900,BPH2986"	15	"0.0432098298509915,0.0163335595265285"
"Fatty acid degradation"	1	"BPH2947"	18	"0.0406016057478186"
"Fructose and mannose metabolism"	3	"BPH2760,BPH2819,BPH2947"	31.3333333333333	"0.0319305151935786,0.0128995612914109,0.00147482335316702"
"Galactose metabolism"	3	"BPH2760,BPH2819,BPH2947"	27.6666666666667	"0.0361811209782326,0.0128995612914109,0.00556528101848487"
"Glycerolipid metabolism"	1	"BPH2819"	27	"0.0347973889819449"
"Glycine, serine and threonine metabolism"	1	"BPH2986"	45	"0.0162401379229944"
"Glycolysis / Gluconeogenesis"	5	"BPH2760,BPH2819,BPH2900,BPH2947,BPH2986"	43.2	"0.0314900980933675,0.000246142874884319,0.0432098298509915,0.0178315204127956,0.00784375358201207"
"Glyoxylate and dicarboxylate metabolism"	3	"BPH2900,BPH2947,BPH2986"	42.3333333333333	"0.00875801071889382,0.0175379021094173,0.00171118627824981"
"HIF-1 signaling pathway"	1	"BPH2947"	8	"0.0418150331042524"
"Histidine metabolism"	1	"BPH2986"	21	"0.0174661966405311"
"Inositol phosphate metabolism"	4	"BPH2760,BPH2819,BPH2900,BPH2947"	14.5	"0.0152325638677899,0.0144890634759027,0.0432098298509915,5.63596784494962e-05"
"Longevity regulating pathway - worm"	1	"BPH2819"	7	"0.0225375256684572"
"Lysine biosynthesis"	1	"BPH2986"	28	"0.00967257793059768"
"Metabolic pathways"	5	"BPH2760,BPH2819,BPH2900,BPH2947,BPH2986"	254.6	"0.0048367101320912,7.45141161554129e-06,0.0284746449537333,0.00214190307466028,1.39692474045248e-05"
"Methane metabolism"	4	"BPH2819,BPH2900,BPH2947,BPH2986"	37	"0.0382183450742933,0.0432098298509915,0.00436158542344639,0.00065661711070204"
"Microbial metabolism in diverse environments"	5	"BPH2760,BPH2819,BPH2900,BPH2947,BPH2986"	122.2	"0.0325588994208994,5.68976640318989e-06,0.0042585758932556,1.72867533760953e-06,7.03897851979542e-07"
"Pentose and glucuronate interconversions"	1	"BPH2819"	23	"0.0381160756110832"
"Pentose phosphate pathway"	4	"BPH2760,BPH2819,BPH2947,BPH2986"	32.75	"0.018707728607874,0.00044200272645412,0.0136457301352697,0.000929385546356196"
"Phosphotransferase system (PTS)"	5	"BPH2760,BPH2819,BPH2900,BPH2947,BPH2986"	18.6	"0.00213451590392768,0.000216010593823481,0.018596535071464,5.35793766022275e-05,0.00959735481175819"
"Pyrimidine metabolism"	1	"BPH2986"	42	"0.0255797572875259"
"Ribosome"	4	"BPH2760,BPH2900,BPH2947,BPH2986"	42.75	"7.20610673864548e-19,2.94661239476699e-08,4.46941158073984e-14,0.0174661966405311"
"Staphylococcus aureus infection"	1	"BPH2986"	23	"0.010489197814668"
"Starch and sucrose metabolism"	1	"BPH2819"	22	"0.0353179000512818"
"Tyrosine metabolism"	1	"BPH2947"	16	"0.044665313008443"
"Valine, leucine and isoleucine biosynthesis"	3	"BPH2900,BPH2947,BPH2986"	16.3333333333333	"0.018596535071464,0.0216654273113818,0.022799570142996"
"Vitamin B6 metabolism"	3	"BPH2819,BPH2947,BPH2986"	22.6666666666667	"0.0128995612914109,0.00800950563817955,0.00263033644795197"
"beta-Alanine metabolism"	1	"BPH2947"	17	"0.0179691495878684"
