"entity_id"	"core_entity_id"	"core_consensus_annotation"
"EW021_RS00005"	"g010876"	"chromosomal replication initiator protein DnaA"
"EW021_RS00010"	"g009819"	"DNA polymerase III subunit beta"
"EW021_RS00015"	"g008944"	"DUF951 family protein"
"EW021_RS00020"	"g000450"	"redox-regulated ATPase YchF"
"EW021_RS00025"	"g006638"	"aminoacyl-tRNA hydrolase"
"EW021_RS00030"	"g011081"	"transcription-repair coupling factor"
"EW021_RS00035"	"g003744"	"RNA-binding S4 domain-containing protein"
"EW021_RS00040"	"g007687"	"septum formation initiator family protein"
"EW021_RS00045"	"g009310"	"serine hydrolase"
"EW021_RS00050"	"g009311"	"tRNA lysidine(34) synthetase TilS"
"EW021_RS00055"	"g002984"	"hypoxanthine phosphoribosyltransferase"
"EW021_RS00060"	"g000951"	"ATP-dependent zinc metalloprotease FtsH"
"EW021_RS00065"	"g010780"	"amino acid permease"
"EW021_RS00175"	"g014519"	"None"
"EW021_RS00180"	"g009619"	"CHAP domain-containing protein"
"EW021_RS00185"	"g000509"	"ribose-phosphate diphosphokinase"
"EW021_RS00190"	"g012758"	"DNA repair protein RecO"
"EW021_RS00195"	"g005285"	"phosphate acyltransferase PlsX"
"EW021_RS00200"	"g001748"	"acyl carrier protein"
"EW021_RS00205"	"g002595"	"phosphoribosylaminoimidazolesuccinocarboxamide synthase"
"EW021_RS00210"	"g005055"	"phosphoribosylformylglycinamidine synthase"
"EW021_RS00215"	"g004815"	"amidophosphoribosyltransferase"
"EW021_RS00220"	"g000505"	"phosphoribosylformylglycinamidine cyclo-ligase"
"EW021_RS00225"	"g006730"	"phosphoribosylglycinamide formyltransferase"
"EW021_RS00230"	"g002105"	"bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase"
"EW021_RS00235"	"g009854"	"CHAP domain-containing protein"
"EW021_RS00240"	"g001887"	"phosphoribosylamine--glycine ligase"
"EW021_RS00245"	"g000662"	"5-(carboxyamino)imidazole ribonucleotide mutase"
"EW021_RS00250"	"g000916"	"5-(carboxyamino)imidazole ribonucleotide synthase"
"EW021_RS00255"	"g010386"	"abortive infection protein"
"EW021_RS00260"	"g004124"	"adenylosuccinate lyase"
"EW021_RS00265"	"g011950"	"helix-turn-helix transcriptional regulator"
"EW021_RS00270"	"g001085"	"Holliday junction branch migration DNA helicase RuvB"
"EW021_RS00275"	"g007316"	"low molecular weight phosphotyrosine protein phosphatase"
"EW021_RS00280"	"g007494"	"membrane protein"
"EW021_RS00285"	"g010246"	"acetyltransferase"
"EW021_RS00290"	"g005099"	"bifunctional acetaldehyde-CoA/alcohol dehydrogenase"
"EW021_RS00295"	"g001078"	"alcohol dehydrogenase AdhP"
"EW021_RS00300"	"g009299"	"MATE family efflux transporter"
"EW021_RS00305"	"g001655"	"30S ribosomal protein S10"
"EW021_RS00310"	"g001250"	"50S ribosomal protein L3"
"EW021_RS00315"	"g002792"	"50S ribosomal protein L4"
"EW021_RS00320"	"g003670"	"50S ribosomal protein L23"
"EW021_RS00325"	"g002480"	"50S ribosomal protein L2"
"EW021_RS00330"	"g001697"	"30S ribosomal protein S19"
"EW021_RS00335"	"g000755"	"50S ribosomal protein L22"
"EW021_RS00340"	"g001268"	"30S ribosomal protein S3"
"EW021_RS00345"	"g000710"	"50S ribosomal protein L16"
"EW021_RS00350"	"g000833"	"50S ribosomal protein L29"
"EW021_RS00355"	"g000817"	"30S ribosomal protein S17"
"EW021_RS00360"	"g001586"	"50S ribosomal protein L14"
"EW021_RS00365"	"g000784"	"50S ribosomal protein L24"
"EW021_RS00370"	"g001397"	"50S ribosomal protein L5"
"EW021_RS00375"	"g000383"	"30S ribosomal protein S14"
"EW021_RS00380"	"g001557"	"30S ribosomal protein S8"
"EW021_RS00385"	"g002997"	"50S ribosomal protein L6"
"EW021_RS00390"	"g001600"	"50S ribosomal protein L18"
"EW021_RS00395"	"g000665"	"30S ribosomal protein S5"
"EW021_RS00400"	"g000852"	"50S ribosomal protein L30"
"EW021_RS00405"	"g000703"	"50S ribosomal protein L15"
"EW021_RS00410"	"g011005"	"preprotein translocase subunit SecY"
"EW021_RS00415"	"g002744"	"adenylate kinase"
"EW021_RS00420"	"g001776"	"translation initiation factor IF-1"
"EW021_RS00425"	"g014520"	"None"
"EW021_RS00430"	"g000745"	"30S ribosomal protein S13"
"EW021_RS00435"	"g000732"	"30S ribosomal protein S11"
"EW021_RS00440"	"g005441"	"DNA-directed RNA polymerase subunit alpha"
"EW021_RS00445"	"g003419"	"50S ribosomal protein L17"
"EW021_RS00530"	"g009065"	"hypothetical protein"
"EW021_RS00535"	"g014521"	"None"
"EW021_RS00545"	"g003942"	"4-diphosphocytidyl-2C-methyl-D-erythritol kinase"
"EW021_RS00550"	"g007284"	"MarR family transcriptional regulator"
"EW021_RS00555"	"g012939"	"metal ABC transporter ATP-binding protein"
"EW021_RS00560"	"g012439"	"iron chelate uptake ABC transporter family permease subunit"
"EW021_RS00565"	"g003427"	"HIT family protein"
"EW021_RS00570"	"g000226"	"tyrosine--tRNA ligase"
"EW021_RS00575"	"g011240"	"penicillin-binding protein"
"EW021_RS00580"	"g002223"	"DNA-directed RNA polymerase subunit beta"
"EW021_RS00585"	"g001032"	"DNA-directed RNA polymerase subunit beta'"
"EW021_RS00590"	"g007708"	"DUF1033 family protein"
